,content,density,viscosity
95,de-ionized water with surfactant sodium dodecyl sulfate (0.25 wt%),1000.0,0.00092
97,deionized water,917.55,0.00089
98,"deionized water (millipore, 18.2 mω cm)",800.0,0.01
99,deionized water with 0.5 wt% sds,,0.002
100,deionized water with 2% (wt) surfactant sodium dodecyl sulfate (sds),1001.5,0.00113
102,di water,999.0,0.001
104,di water with 60.5 wt. % glycerin,,0.009
105,di water with food coloring,,0.011445
106,di-water,,0.001
107,different concentrations,1155.0,0.001
108,different concentrations of glycerol (0–50 wt%) in deionized water,,0.0019649999999999997
109,different viscous solutions,,0.2405
110,dilute polymer solution,1286.0,0.1
111,dimethyl silicone oil,920.0,0.01
112,distilled water,997.1,0.0035099999999999997
114,dmdbdtdma 1 m in n-dodecane,8.0,0.02027
116,dragoxat,,0.752275
118,ethanol,799.0,0.001
119,ethanol (liquid),179.0,1.96e-05
121,fc-40,,0.1
122,fc-43,800.0,0.01
123,ferrofluid,1100.0,0.002
124,"ferrofluids (ni, co, mg, or zn compositions of ferrite (fe2o4), magnetite (fe3o4), or maghemite (g-fe2o3) in a nonmagnetic liquid (aqueous or hydrocarbon) carrier phase)",1420.0,0.012
125,fluid 1,1000.0,0.00195
126,fluid 2,1020.0,0.00671
128,fluorinated oil fc-40,,0.0041
129,fluorinated oil fc-70,1940.0,2.3e-05
130,fluorinated oil hfe-7500,,0.0012
132,gas,800.0,0.001
133,gas (air),,0.12045
137,gelatin,997.0,0.001
138,glycerin water,826.0,0.02513
140,glycerol,1000.0,0.001
143,"glycerol-water solution (0%, 30%, 60% mass fractions)",,0.00095
144,glycerol-water solutions,1214.5,0.0091
148,hexadecane,875.0,0.0019125000000000001
149,hexadecane 95%,,0.0036
153,hfe-7200,1430.0,0.0006
154,hfe-7500,,0.0012
156,high-viscosity silicone oils,1000.0,0.05
157,higher viscous liquid,1223.7,0.0456
158,highly viscous liquid,1223.7,0.035100000000000006
160,hsa,,0.0033
161,hydrogen,82.5,0.07
162,il,1210.0,0.0664
163,il([bmim] [pf6]),1366.8,0.25176
165,incompressible and dielectric,925.0,0.000825
166,isobutylene-isoprene rubber (iir) solution,696.0,0.1422
168,light mineral oil,838.0,0.0231
169,liquid,15.15,0.0022
170,liquid paraffin,837.5,0.0168
171,liquid paraffin with 2% span80,826.5,0.02513
172,liquid with different viscosities,,0.0108
173,low-viscosity liquid,935.0,0.1537
174,mea 0.8 mol·l−1,998.4000000000001,0.000835
176,methanol,909.15,0.0691
179,mineral oil,858.0,0.02955
180,mineral oil with 4 wt% surfactant sorbitan laurate (span 20),872.5,0.026
181,mineral oil with 4 wt.% surfactant sorbitanlauric acid ester (span 20),875.1,0.026
182,mineral oil with 4% surfactant,840.0,0.0241
185,mixture inside in model a,950.0,0.005
186,mixture of ethanol and water,,0.00104
187,mustard oil,902.0,0.06
188,n-dodecane oil,1000.0,0.001
189,n-hexane,,0.00037
192,n2,1000.0,0.00092
195,newtonian and immiscible liquid,1000.0,0.001
196,newtonian fluid,,0.001375
199,nitrogen gas,,0.12085000000000001
205,octane with span 80,,0.00054
206,octanol,822.5,6.65
207,oil,1000.0,0.001
211,olive oil,1000.0,0.0345
212,organic,998.0,0.0015
213,organic phase,979.9,0.001004
214,oxygen,1.3,2e-05
216,paraffin oil,997.0,0.453
217,pdms,,3.5
219,peo solution,,0.005
220,peo-glycerol solution,1105.6,0.00052
221,perfluoropolyether oil,1477.5,0.082565
222,pfc,1020.0,0.00635
224,phenol + deionized water,1006.2,0.00102
227,photocatalytic reaction solution,893.0,0.0013
228,pickering emulsion,0.5,
229,plga-_b_ -peg,,0.0186
231,polydimethylsiloxane (pdms),920.0,0.008
232,polyvinyl alcohol solution,1000.0,0.00195
233,polyvinyl alcohol solution (2% by wt),1000.0,0.00195
234,power-law fluid with _n_ = 0.8 and _k_ = 0.025 pa s _n_,,0.002
236,ps shell and water,4.0,
238,pure water,1183.9,12.52588
240,r113,1502.0,0.000477
241,"reactants (r1, r2)",987.0,0.00091
242,red fluid,1000.0,0.04
243,red phase fluid,1.0,8e-05
246,rhodamine b solution,103.0,0.001
247,scmc,998.2,0.00093
249,sds concentrations,,0.00692
251,second component fluid,,0.0002428
252,shear-thinning non-newtonian fluids,947.0,1.06008
253,silica beads in pbs,1200.0,
255,silicone oil,950.0,0.02
256,silicone oil 47v100,967.5,0.865
257,silicone oil kf96-100cs,998.2,0.00101
258,silicone oil kf96-10cs,,3.44e-05
259,silicone oil with 5 wt% dowsil rsn0749 surfactant,,0.01016
260,silicone oil with dimethicone copolyol silicone surfactant,980.0,0.0019
261,silicone oils,1221.0,0.12
262,slurry,1024.62,0.02652
263,sodium dodecyl sulfate (sds),,0.00037
265,solution d a,995.6,0.02415
267,soybean oil,997.0,0.0144725
268,squalene,,0.028
269,sulfonated kerosene mixed with 2-ethylhexyl phosphonic acid mono-2-ethylhexyl ester p507 and sodium hydroxide,,0.00124
270,sunflower oil,915.5,0.0482
274,"surfactant (fluosurf 1.8 w/w% in hfe7500, emulseo) stabilised fluorinated oil (hfe7500, 3m™ novec)",1039.0,0.001002
275,surfactant type and surfactant concentration,1132.0,0.0068
276,surfactant-laden,1162.0,0.01058
277,swelled biopolymer,,0.017625
283,tween 20,,0.00692
287,uv glue,,0.128
289,viscous fluids,,0.026437500000000003
290,water,1000.0,0.001
292,water with dna,,0.001
293,"water, 10% gly",1000.09,0.00402
296,wetting fluid,1000.0,7.12e-05
297,white oil,818.5,0.07600000000000001
298,working solution,899.0,0.00241
