Unnamed: 0,type,c_content,c_Q,c_V,c_density,c_viscosity,c_interface tension,c_channel’s width,c_channel’s depth,c_weber number,c_capillary number,d_content,d_Q,d_V,d_density,d_viscosity,d_interface tension,d_channel’s width,d_channel’s depth,d_weber number,d_capillary number
15.5,squeezing,mineral oil,1.1111111111111113e-09,,876.0,0.036,0.0015,0.4,0.4,,0.28250000000000003,ferrofluid,5.555555555555556e-10,,1100.0,0.002,,0.4,0.4,,
14.5,squeezing,water,,,1.21,1.81e-05,,0.3,,,0.00417,Silicone oil KF96-100cs,,,998.2,0.00101,,,,,0.004835
16.0,squeezing,35 wt % glycerol–water mixture with 0.3 wt % SDS,1.67e-09,0.05,998.0,0.001002,0.03,0.2,0.25,2.9004,0.151,silicone oil,3.33e-09,,,,0.0089,,,,
14.0,squeezing,Different concentrations of glycerol (0–50 wt%) in deionized water,4.027777777777778e-05,0.5382,,0.0019649999999999997,0.072,0.4,0.4,,0.04115,Gas,,,,0.00175,,,,,
8.0,squeezing,N2,1.666666666666667e-07,,,,,0.12,0.04,,,N2,4.45e-06,,,,,,0.04,,
22.0,squeezing,gas,2.5e-05,7.33,1093.0,0.0038275,0.04057,0.4,0.4,,0.06105,gas,2.5e-05,,300.0,,,0.69,0.71,,0.03705
18.5,squeezing,swelled biopolymer,8.333333333333333e-05,,,0.017625,0.036000000000000004,2.0,2.0,,1.0,gas,1.66667e-08,,,,0.03645,1.25,,,
15.5,squeezing,oil,5.416666666666667e-06,,,0.001,0.005,0.6,0.175,0.1,0.01,aqueous,3.3333333333333334e-09,,,0.01,,,,,
11.5,squeezing,oil,6.666666666666667e-09,,,,,0.6,0.3,,0.002535,liquid,1.6666666666666667e-09,,,,,0.6,0.3,0.20500000000000002,0.0153
8.0,dripping,oil,0.003,0.625,,0.0155,0.011525,,,0.0001025,0.000615,water,3.0,0.1,,,,,,6.874999999999999e-05,0.0001145
23.0,squeezing,water,1.4e-10,,,0.001,0.0365,0.1,0.033,,0.0305,oil,4.08e-10,,960.0,0.01,0.02855,0.07500000000000001,0.033,0.5,0.01
6.0,squeezing,oil,5e-06,,698.0,0.00053,0.00537,0.6,,,0.0018,solution D A,1.66667e-09,,995.6,0.02415,,,,,
27.5,squeezing,silicone oil 47V100,2.0800000000000003e-09,,967.5,0.63,0.02095,,,0.0026,0.02,silicone oils,1.39e-09,1.0,1221.0,0.12,0.04698,0.75,,,0.001
10.0,squeezing,water,2.5e-10,,998.0,0.001,,0.25,0.221,,0.01,"deionized water (Millipore, 18.2 MΩ cm)",8.33e-11,,800.0,0.01,,0.25,,,
19.5,squeezing,olive oil,4.1666699999999994e-10,0.05,,,,0.22,0.07475,,,Na-CMC,2.847222222222222e-08,,,,,0.09,0.076,,
10.5,squeezing,water,,,1.0,,,1.0,1.0,,5e-06,heptane,,,,,,1.0,1.0,,5e-06
10.5,,silicone oil,8.33e-11,,998.0,0.02,0.04,0.425,0.05,,0.05,silicone oil,1.4583333333333335e-10,1.75,960.0,0.51,,0.625,0.05,,0.05
8.0,squeezing,oil,1.388888888888889e-07,,,0.1,0.034985,0.1,0.08,,0.016,water,1.39e-07,,,,,0.125,0.08,,0.015
12.0,squeezing,"Water, 10% Gly",5.56e-10,,1000.09,0.00402,0.01288,0.4,0.4,,0.48,pure water,2.225e-10,,1366.8,0.25176,,,,,
6.5,squeezing,DBP and DOS mixture,2.01575e-08,,,,,,,,,PS shells with PVA solution,8.333e-06,,,,,,,,
5.0,jetting,O phase,,,,,,,,,,PS shell and water,,,4.0,,,,,,
7.5,squeezing,BSA solution,2.5e-09,,,,,0.2,,,0.0025,gas,,,,,,0.2,,,
18.5,squeezing,DI water,1.66667e-06,,,,0.65,0.1,,,0.001,microbubble suspension,,5.625,,,0.675,0.1875,,,
1.5,dripping,aqueous phase,,,,,,,,,,sunflower oil 2,,,,,,,,,
17.0,squeezing,oil,,0.17,1.225,1e-05,0.072,1.0,,1.0,0.0074,gas,,0.17,1000.0,0.001,0.072,1.0,,,0.00885
14.0,squeezing,distilled water,2.4305555555555553e-09,,997.1,0.0035099999999999997,0.01169,0.6000000000000001,0.6000000000000001,,0.05,[BMIM][PF6] ionic liquid,1.875e-07,,1366.8,0.25176,,0.4,,,
9.5,dripping,DI water,4.1666666666666676e-08,,,0.0535,,,0.028,,0.2,67 µS/cm xanthan gum solution,8.33e-09,,,0.16675,23.5,0.1,,,0.016
15.5,squeezing,photocatalytic reaction solution,5e-09,0.26,893.0,0.0013,0.0445,0.47500000000000003,,,0.0065,oxygen,1.5e-09,,1.3,2e-05,,0.15000000000000002,,,17.05
13.5,dripping,50 cSt oil,8.333333333333334e-09,,,0.003,,1.4,1.4,0.002,0.0002,alginate,5.555555555555556e-07,,,0.05,,,,,
7.0,squeezing,,,0.0505,,0.00576,0.0026,0.2,0.125,,0.15005,,,0.0505,,,,0.04,0.079,,
2.5,jetting,water,,,,,,0.3,0.02,,,air,,,,,,0.07500000000000001,,,
1.5,dripping,oil,,,,,,,,,,water colored by a blue or a red ink,,,,,,,,,
19.0,squeezing,liquid paraffin with 2% Span80,1e-06,,827.0,0.02513,,0.8,0.4,,0.0605,aqueous glycerol solutions,3.3e-10,,,0.5275,,0.6,0.4,,
13.5,squeezing,oil,1e-08,,1614.0,0.00124,0.0035,0.125,0.06,,0.01,water,1e-11,,,,,0.1,0.06,,0.0075
14.0,jetting,Tween 20,0.000175,,,0.00692,0.02864,0.75,0.75,,,n-hexane,,,,0.00037,,,,,
18.0,dripping,deionized water,1.66667e-06,,,0.00545,0.0033125,0.365,0.365,,0.355,deionized water,8.333333333333334e-08,,,,0.003645,0.075,,,
5.5,dripping,n-hexane,0.00011666666666666667,,,,,1.0,,,1.0,cyclohexanone oxime,5e-05,,,,,1.0,,,0.1
9.0,dripping,DBD,1.7666666666666665e-10,,938.0,0.0084,0.0023,0.4,0.31,,,HFE-7200,1.933333333333333e-10,,1430.0,0.0006,,0.2,,,
8.0,jetting,mineral oil,1.6666666666666667e-09,,,,,2.0,1.8,,,distilled water colored with food dye,1.6666666666666669e-06,,,,,,,,0.007
3.5,squeezing,ethanol,,,,,,2.0,1.0,,0.005,nitrogen,,,,,,,,,
10.0,squeezing,water,2.7777777777777775e-06,,1000.0,0.001,0.01,0.2,0.1,0.1,0.0175,water,1.39e-06,0.1,800.0,0.01,0.026500000000000003,0.2,0.1,0.05,0.0032500000000000003
9.0,squeezing,CO2 saturated [Emim][BF4],4.165e-08,,1425.0,0.0155,0.019999999999999997,0.675,0.75,,,CO2,2.0849999999999998e-08,,517.0,4.7e-05,,0.75,,,0.035
15.0,squeezing,glycerin water,4.166666666666667e-06,0.01823,826.0,0.02513,,0.8,0.4,,1.2369999999999999,liquid paraffin,1.1674999999999998e-06,0.00319,,,,0.6,0.4,,
20.5,dripping,oil,1.67e-10,,,,,0.075,0.05,,,alginate,3.33e-11,,,0.0053950000000000005,,0.025,0.525,,
3.0,squeezing,perfluoropolyether oil,1.6666666666666664e-11,,1515.0,0.11468,0.048,,,,,water,1.1111111111111112e-08,,998.2,0.001003,,,,,
10.0,squeezing,incompressible and dielectric,2.77778e-08,,850.0,0.00065,,0.1,,,0.0268,incompressible and dielectric,2.77778e-12,,1000.0,0.001,,0.1,,,0.0351
7.5,dripping,mineral oil,1.7205e-09,,,0.011250999999999999,,0.5,0.2825,,0.050100000000000006,DI water with food coloring,5.275e-10,,,0.011445,0.011465,0.5,,,0.000325
21.0,squeezing,oil with surfactant,1.8333333333333327e-10,,,,,0.14800000000000002,0.056,,0.0095,water,1.75e-07,0.125,,1e-06,,0.1585,0.05735,,0.5
14.5,dripping,viscous fluids,4.175e-09,,,0.002875,,,0.5,,0.30024999999999996,viscous fluids,2.4999999999999996e-10,,,0.05,,,,,0.003
11.5,squeezing,H2SO4,4.20925e-09,,,,,0.5449999999999999,0.25,,-0.047499999999999994,Paraffin in n-hexane,9.185e-10,,,,,,,,
22.5,dripping,silicone oil,3.367e-05,,,0.009,0.043,0.106,0.1,,,DI-water,,,,0.001,0.043,,0.1,,
22.0,squeezing,,,0.0667,1000.0,,0.005,0.09,,,0.01152,,,0.0667,1000.0,0.0005,0.005,0.06,0.29000000000000004,,0.009600000000000001
13.0,squeezing,Silicone oil with 5 wt% Dowsil RSN0749 surfactant,8.33e-09,,,0.01016,,0.4,,,,"Glycerol-water solution (0%, 30%, 60% mass fractions)",8.33e-09,,,0.00095,,0.4,,,
10.5,dripping,silicone oil,2.7778e-07,,969.0,0.492875,0.03007,0.38006999999999996,,,,70 wt% glycerol and 30 wt% distilled water,2.222222222222222e-11,,1183.0,0.01907,0.03007,0.2564375,,,
7.0,squeezing,10 cSt silicone oil with surfactants (Dow Corning 749),3.3333e-09,,,350.0,,1.0,1.0,,,10 cP water/glycerin mixtures with red dye,5e-10,,,,,0.1778,0.5,,
10.0,squeezing,oil,1.6667e-06,0.16,,,,0.49,0.44,,0.28,water,1.6666666666666667e-09,0.175,,,,,,,0.26
6.5,squeezing,sunflower oil,7.700000000000001e-08,,,0.0472,0.0301,0.2,0.1,,0.01235,deionized water,3.75e-08,0.0046,,0.00101,1.6e-06,0.1,0.1,,
17.5,squeezing,Polyvinyl alcohol solution,4.304000000000001e-10,0.33,1000.0,0.00195,0.005,0.1,0.1,,,"1,6-hexanediol diacrylate",5.56e-11,,1020.0,0.00671,0.005,0.1,0.1,,
14.5,squeezing,glycerol aqueous solution,2.5e-07,,,,,0.4,0.4,,,ferrofluid,1.6666666666666665e-07,,,,,,,,
17.0,squeezing,0.50% CMC solution,2.5e-09,,1001.1,0.55,0.03735,0.4,0.4,,,gas,2.5e-09,,1.0,,,0.4,0.4,,
14.0,squeezing,de-ionized water with surfactant sodium dodecyl sulfate (0.25 wt%),1.0127361111111111e-07,0.06,1000.0,0.00092,0.033,0.4,0.05,0.05434,0.0017,gas–liquid two-phase,,0.06,,,0.001,0.4,0.05,,
7.5,squeezing,gas (air),,,,0.12045,,,,,7.3420000000000005,air,4.35825e-08,0.09,,0.0485,,,,1.5789,
19.0,squeezing,deionized water with 2% (wt) surfactant sodium dodecyl sulfate (SDS),2e-07,,1001.5,0.00113,,0.5,0.5,,0.415,silicone oil,3.33333e-10,,,0.05243,0.04,0.2,0.1,,0.005
15.5,jetting,"Ferrofluids (Ni, Co, Mg, or Zn compositions of ferrite (Fe2O4), magnetite (Fe3O4), or maghemite (g-Fe2O3) in a nonmagnetic liquid (aqueous or hydrocarbon) carrier phase)",,,1420.0,0.012,0.01,0.2985,0.1,,0.025,ferrofluid,1.1944444444444445e-11,,,,,0.1,0.1,,0.015000000000000001
12.0,squeezing,gas,,0.005,,,0.0315,0.4,,,0.0017,air,,0.025,,,,,,,
7.0,squeezing,Nitrogen,,,,,,0.4,0.05,,,Aqueous solution with 0.3% surfactant SDS,,,,,,,,,
21.5,jetting,silicone oil,1.1111111111111112e-08,,,,,0.25,0.06,,5.05,surfactant-laden,1.94e-08,,1162.0,0.01058,0.01,,,22.675,
8.5,squeezing,sunflower oil,5.8333333333333335e-09,,922.0,0.0492,,1.0,0.12,56.295,0.0645,deionized water,8.33e-10,,997.1,0.00089,,0.055,0.055,,
9.5,squeezing,50 wt % ethylene glycol/water mixture,,0.315,1145.0,2.1e-05,,2.0,2.0,,0.0905,50 wt % ethylene glycol/water mixture,,0.42,1063.0,0.00317,5.6e-05,,2.0,,0.011
11.0,dripping,water,8.33333e-06,,,,,0.2,0.4,0.115,0.00083,gas,8.333333333333334e-09,,,,,0.2,0.25,,
6.5,squeezing,2 wt% poly (vinyl alcohol) aqueous,1.944445e-10,,,,,0.1,0.07500000000000001,,1.0,"1,6-hexanediol diacrylate",5.56e-11,,,,,0.1,0.05,,
12.0,squeezing,,5.005,0.046875,,,0.01,,,,0.001,,,,,0.0055,,,,0.2825,0.001
7.0,squeezing,water,5.56e-10,5.0,980.0,0.00029,,0.1,,2.14,0.0105,oil,5.56e-08,,,0.01,0.003,,,,
11.5,squeezing,liquid with different viscosities,1.6666666666666667e-09,,,0.0108,135500.0,0.15,0.2,,0.0575,gas,,,,0.026675,,,,,
14.5,squeezing,oil,,,,0.005,,0.2,0.1,,4.3e-07,oil,,,,,,0.15000000000000002,0.1,,
10.5,dripping,water,,,,,0.00537,0.1,0.1,,,PDMS,,,,,0.00537,0.1,0.1,,
13.0,dripping,glycerol,8.333472222222222e-07,,1000.0,0.001,0.033,0.1,0.1,0.5,0.05,air,9.166666666666667e-10,,975.0,0.0055,,0.1,0.05,1.0,0.030000000000000002
9.5,dripping,oil,7.5e-07,,,35.035,0.0212,0.2,,,0.04,oil,1.25e-06,,,0.0027,0.0521,0.2,,,0.002
8.5,squeezing,gas,3.3333333333333334e-08,,,,,1.0,1.0,,,CO2,3.333333333333333e-05,,,,,,,,
11.5,jetting,oil,,0.1218,980.0,0.0138,0.029,,,,0.08,water,,0.25,980.0,0.1,0.029,,,,0.0485
14.0,dripping,n-hexane,1.6666666666666669e-06,,,,,0.4,0.05,,0.005475,water,3.33e-11,,,4.6e-05,,,,,
13.5,squeezing,water,1.6666666666666669e-06,,,0.0012,0.04,0.136,0.486,0.02,0.0005,air,1.0750000000000002,0.1,,0.02,0.04,0.194,0.486,,
15.0,squeezing,silicone oil,8.333333333333334e-09,,1060.0,0.00232,0.0315,0.4,0.4,,0.01505,gas,8.333333333333334e-09,,,0.00232,,0.4,0.4,,
15.0,squeezing,silicone oil,1.6666666666666669e-06,,1000.0,0.002,0.014475,0.2125,0.1,0.1,0.023,FC-43,8.33e-10,,800.0,0.01,,0.22499999999999998,,,0.2325
9.5,squeezing,deionized water,5.555555555555556e-10,,,,,0.1,0.065,,,air,5.56e-08,,,,,0.1,0.1,,
2.0,,"mineral oil with Span-80 surfactant (1 %, w/w)",7.5e-12,,,,,0.1,0.06,,,deionized water,1.0415e-11,,,,,0.22000000000000003,0.06,,
13.0,jetting,water,3.472222222222222e-05,,,,,0.4,0.4,,0.0125,silicone oil,2.083333333333333e-06,0.0505,,0.02,,,,,
7.5,dripping,tri-n-butyl phosphate (TBP),2.9165e-08,,,,,0.37,0.2,,,Rhodamine 6G fluorescent dye,5.20825e-08,,,,,0.37,0.2,,
8.0,dripping,water,9.166666666666667e-08,,,0.4,0.0095,0.05,0.05,,0.007,mineral oil,3.3333333333333335e-11,,765.0,0.018715000000000002,0.0095,,,,0.04125
8.5,squeezing,toluene,1.6666666666666666e-10,11.25,,,,0.5,0.3,,,IL,5e-11,2.0,1210.0,0.0664,,,,,
6.0,dripping,Deionized water,,0.2,,,,0.8,1.0,,0.00235,Dry air,,0.2,,,,,,,
15.5,squeezing,aqueous,,0.053,1160.0,1.76e-05,,1.6,,,0.0038,gas,,0.049,1050,0.0016,0.053,0.2,,,
4.5,jetting,acrylamide aqueous solution,0.000933,,,0.00125,,2.0,0.6,,0.33,acrylonitrile,5e-05,,,,,,,0.002,
10.5,squeezing,gas,2.475e-05,,1.2,1.8e-05,,0.3,0.3,,0.00554,water,4.5e-08,1.35,998.0,1.2e-06,0.072,0.3,,,0.344
29.0,squeezing,silicone oil,7.49995e-10,,950.0,292.67749999999995,,0.2925,0.19,,0.01,pure water,6.8069444444444456e-09,,1001.0,24.8,0.007697,,,,
16.0,squeezing,air,0.00015000000000000001,,1.225,1.79e-08,,0.7834999999999999,0.12,4.073e-05,0.00485,air,5e-05,,780.0,1.17e-06,2.5e-05,,,,0.00485
8.5,squeezing,mustard oil,4.72222e-08,,902.0,0.06,,0.1,0.1,,0.1675,0.2% CMC,5.2777777777777776e-08,1.0,,,,0.676,0.1,,0.126
22.5,squeezing,ferrofluid,1.39e-10,,890.0,0.037,,0.1,0.1,,0.0273,ferrofluid,,,1190.0,0.0028,0.015,,,,
5.0,squeezing,HFE-7500,,,,0.0012,0.004,0.025,0.025,0.005,0.10500000000000001,de-ionized water,,,,,,,,,
18.0,squeezing,water,8.333333333333334e-09,,,,,0.4,0.4,,0.005,gas,8.33e-09,,,0.00185,0.0481,0.5,0.3,,0.0006000000000000001
7.5,squeezing,squalene,8.333333333333333e-08,0.04160815,,0.028,0.0339,0.15,0.1,,0.005075,water with DNA,2.777777777777778e-11,,,0.001,,0.1,0.1,,
12.0,,silicone oil,,,,,,0.9,,,,ammonium ceric nitrate,,,300.0,,,0.9,,,
7.5,dripping,Silicon oil,0.0002777777777777778,,,,,41.25,3300000.0,,0.18,sol solution,2.22e-09,,,,,1.6,,,
3.5,squeezing,fluorinated oil HFE-7500,,,,0.0012,0.004,0.025,0.025,,0.0225,deionized water,,,,,0.004,0.025,0.025,,0.0225
15.5,squeezing,castor oil,2.5e-11,0.0025900000000000003,935.0,0.4335,0.0183,,,0.1,0.07175000000000001,water,1.66667e-11,0.00165,997.0,0.000894,0.043449999999999996,,,,0.0032
10.5,jetting,CO2,1.1666666666666665e-10,,,,,0.325,0.363,,,MeOH,,,,,,4.262499999999999,0.696,,
15.0,dripping,Dragoxat,5.39e-06,,,0.752275,0.00765,0.1,0.1,,0.1775,HSA,0.001,,,0.0033,,0.1,0.1,,
11.5,dripping,paraffin oil,2.78e-10,,997.0,0.453,0.0452,0.2,0.2,1.0,0.05,water,5.56e-11,,845.0,0.11,0.0248,0.2,0.4,0.25000025,0.5
13.5,dripping,air,0.00048,,,,,0.2,0.043,,,water,2.63e-07,,,,,0.1,0.043,0.28,
15.0,squeezing,Hexadecane with 0.2% span 80,3.5e-07,,,,,0.2364,0.1,0.08500020000000001,0.063,40% glycerol,1.5e-07,,,,,0.8,0.1,0.0850005,0.03001
9.5,squeezing,air,,,,0.0017675,,0.441475,0.466175,,,0.11 wt% polyacrylamide,,0.865,,,,0.27,0.23,,
9.0,dripping,FC-40,5.56e-08,,,0.1,,0.4,0.265,,0.030000000000000002,aqueous,,0.21250000000000002,,,,0.07500000000000001,0.4,,0.0175
16.0,squeezing,"50% (v/v) ferrofluid, 10% (v/v) ferrofluid",8.333333333333334e-11,,1000.0,0.001,0.005,0.15000000000000002,0.03,0.02,0.030000000000000002,10% (v/v) ferrofluid,2.77778e-12,,958.65,0.01,0.005,0.2,0.0325,,
16.5,squeezing,MEA 0.8 mol·L−1,8.329999999999999e-09,,998.4000000000001,0.000835,0.037605,0.4,0.4,,0.00415,gas,1.1111111111111112e-05,,,,,0.4,0.4,,
15.5,squeezing,slurry,1.6666666666666667e-08,,1024.62,0.02652,0.042749999999999996,0.8,0.8,,,gas,5e-05,,,,,,,,
16.0,squeezing,100 K PEO solution,0.00011111111111111112,,872.5,0.0155,0.00266,0.2,0.2,,0.041960000000000004,PEO-glycerol solution,2.8e-08,,1105.6,0.00052,,0.2,0.2,,0.00052
16.0,squeezing,Oil (O phase),2.222222222222222e-08,,,,,0.98,,30.025,0.03025,PS shell,2.777777777777778e-09,,,,,0.96,,,
21.5,squeezing,Hexadecane 95%,9.722222222222223e-10,,,0.0036,0.0073,,0.525,,0.000138,fluorinated oil FC-40,,,,0.0041,,0.4,,,
13.5,squeezing,Cyclohexane with 5 wt % Span85,0.000675,,,,,0.4,0.4,,0.004575,0.1 wt % CMC solution,6e-06,,,,,,,,
21.0,dripping,Carbopol gel,2.833333333333333e-05,,789.43,0.001,,,0.4,,,Carbopol gel,6.67e-10,,1028.025,0.0018604000000000001,0.00878,,0.4,,
6.0,squeezing,liquid,3.333335e-08,,,,,1.0,1.0,,,gas,0.0088843,,,,,0.75,1.0,,
9.0,squeezing,,,,,,0.0288,,,9.07,,van der Waals fluid,,,,,,0.16,,,
8.0,squeezing,liquid paraffin with 2% span80,1.0833333333333333e-06,,826.0,0.02513,,0.8,0.4,,0.03,glycerol-water solutions,6.665e-10,,,0.00165,,0.7,0.4,,
13.5,squeezing,silicone oil,6.944444444444445e-07,,989.5,0.35,0.02445,0.2,0.5,0.6,0.02,water,6.94e-10,,1000.0,0.0055,0.04,1.0,0.5,,0.012
8.5,dripping,water,5.75e-06,,,,,0.61,0.33,,0.12,water,6.3349999999999995e-06,,,0.00874,,0.3,0.33,,
6.0,squeezing,gas,0.0011585648333333335,,,,,0.4,0.4,1.0850002315,,liquid,6.979166675e-05,,,0.0898,0.04788,0.43000000000000005,0.4,0.000277,
13.5,squeezing,liquid,3.3333333333333333e-06,,,,,0.3,0.3,,0.005,Deionised water,1.6666666666666667e-06,,,,,0.3,0.3,,
19.5,squeezing,liquid,,3.7,29.1,,0.070685,0.6,0.3,17.580865,,gas,3.3333333333333334e-08,0.74,,,,,,2.4,
12.0,squeezing,glycerol-water solutions,4.083333333333333e-05,,1214.5,0.016550000000000002,0.047,0.2,0.365,,0.31,gas,1.6666666666666667e-11,0.635,,,,0.167,,,0.31
14.5,squeezing,water,2.78e-11,,,0.1,0.0365,0.1,0.1,,0.052,hexadecane,5.56e-10,,,0.001,0.0365,0.024,0.005,,
13.0,squeezing,water,3.33e-06,,,0.00097,0.026925,0.37,0.34,,0.01,oil,1.2083333333333333e-06,,,,0.0051,0.8,0.4,,0.005
16.5,squeezing,BSA solution,1.333333e-05,325.0,1052,0.00143,0.04715,0.1,0.2,,,gas,1.5e-07,,,,,0.15000000000000002,0.2,,
8.5,squeezing,Two kinds of oil,1.575e-07,0.005,,,,0.06,0.1,,3.545,Deionized water,8.750024999999999e-08,0.027,,,,0.06,0.1,,
14.0,squeezing,0.1% CMC in water,3.75e-07,,998.0,0.005555,0.02155,0.4,,,,shear-thinning non-Newtonian fluids,8.5e-06,,947.0,1.06008,,,,,0.04365
9.0,squeezing,C12H26 + mineral oil with 2 wt % Span80,8.541575e-07,,,,,0.4225,0.36,,0.6,deionized water,8.33e-07,,,0.0388,,0.19,,,-0.2825
17.5,jetting,soy bean oil with 1% Span 80,1.05e-06,,,,,0.4,0.365,,,2% ultra-low-viscosity alginate,1.429e-08,,,0.0135345,,0.13,,,
28.0,squeezing,0.2 XG+T,1.527777777777778e-09,,1000.5,0.0010045,0.033845,0.25,0.3,,0.05,silicone oil,1.388888888888889e-11,,950.0,0.005,0.04,0.3,0.3,,0.02228
12.5,squeezing,Hexadecane,8.33e-11,,875.0,0.0028250000000000003,0.0085,0.06,0.12,,0.011,Water,5e-11,2.0,902.5,0.0005475,0.0085,0.175,0.11,,0.0014
11.0,squeezing,liquid,4.25e-06,,,,,0.43500000000000005,0.425,,0.037500000000000006,gas,1.55e-06,,,,,0.05,0.365,,
16.5,squeezing,olive oil,2.7834725e-09,,,,,0.0666,0.0015,,,water/SDS,2.777777777777778e-10,0.000235,,,,76.0,0.0015,,
