'increasing' ,'N/A' 
"['0.43', '0.30', '0.18'] ","[0.43, 0.30, 0.18] "
'Provided for both compared systems' ,'N/A' 
5.0 × 10−4         ,0.0005          
"['4.3 × 10−4', '0.17'] ","[0.00043, 0.17]       "
< 1 ,0.5 
We ≫ 1 ,N/A 
Wej ,N/A 
0.1 ,0.1 
3.2 ≤ Bom ≤ 224.5 ,113.85 
"['0.011', '654'] ","[0.011, 654]          "
'20'           ,20                      
'Wec'          ,'N/A'           
We number ,N/A 
WeG            ,N/A                    
WeL            ,N/A                    
9.776 × 10−3        ,0.009776               
WeSL                                   ,N/A                     
"['0.16', '1.40', '3.92']               ","[0.16, 1.40, 3.92]      "
"['0.16', '1.40', '3.92']               ","[0.16, 1.40, 3.92]      "
'WeSG' ,'N/A' 
"['0.81', '1.64', '0.09', '1.58', '0.06', '0.77'] ","[0.81, 1.64, 0.09, 1.58, 0.06, 0.77] "
"['0.81', '1.64', '0.09', '1.58', '0.06', '0.77'] ","[0.81, 1.64, 0.09, 1.58, 0.06, 0.77] "
We=ρcVc2lcσ ,N/A 
"['1×10−4 to 5×10−4', '3×10−3 to 15×10−3', '1×10−2 to 5×10−2'] ","['0.0003', '0.009', '0.03'] "
We=ρG ϕc UG^2 / σ                  ,N/A                     
<2                                 ,1                       
critical ,N/A 
We ,N/A 
0.009 ≤ We ≤ 1.82 ,0.9145 
0.009–1.82 ,0.9145 
_We_ = 0.037 ,0.037 
0.037 ,0.037 
0.037 ,0.037 
low ,N/A 
0.037 ,0.037 
"['0.009', '1.82'] ","['0.009', '1.82'] "
"['0.009', '0.037', '0.148', '0.33', '0.59', '0.93', '1.82'] ","['0.009', '0.037', '0.148', '0.33', '0.59', '0.93', '1.82'] "
'1We' ,'N/A' 
'We' ,'N/A' 
'varied' ,'N/A' 
"['0.009', '0.037', '1.82'] ","['0.009', '0.037', '1.82'] "
"['0.009', '1.82'] ","['0.009', '1.82'] "
"['0.148', '0.33', '0.59', '0.93'] ","['0.148', '0.33', '0.59', '0.93'] "
'1.82' ,'1.82' 
"['0.009', '0.037', '0.148', '0.33', '0.59', '0.93', '1.82'] ","['0.009', '0.037', '0.148', '0.33', '0.59', '0.93', '1.82'] "
Wed ,N/A 
0.2            ,0.2             
'Red' ,'N/A' 
We=ρvl2l/σj         ,N/A                    
We                  ,N/A                    
high                ,N/A                    
'high'         ,'N/A'            
'0'            ,0                      
'0.8'          ,0.8                    
lower liquid-phase Weber number (_We_ LS) decreases    ,N/A                    
0.45 < _We_ < 9.48                                     ,4.965                  
higher gas-phase Weber number (_We_ GS) increases ,N/A 
'1.2' ,1.2 
10             ,10               
increases           ,N/A                    
0.06 < We TP < 9.0 ,4.53 
0.06 < We_TP < 9.0 ,4.53 
0.06 < We_TP < 9.0 ,4.53 
0.06 < We TP < 9.5 ,4.78 
>1 ,1 
1-3 orders less than Ca ,N/A                
"['0.1', '0.5', '1.0', '1.5', '2.0']            ","[0.1, 0.5, 1.0, 1.5, 2.0] "
'0.5'                                          ,0.5                   
0.1 ,0.1 
1.2 ,1.2 
''             ,N/A                     
We             ,N/A                     
_We_           ,N/A                     
,N/A                    
We                  ,N/A                    
We1=2ρRcU12/γL      ,N/A                    
high ,N/A 
related to the inertial force ,N/A 
low ,N/A 
wb_d=0.5       ,0.5             
Rec                  ,N/A             
2.6×10−3            ,0.0026                
low Re                   ,N/A             
"['0.106', '4.25e−4–4.25e−2']    ","['0.106', '0.002125'] "
< 1                             ,0.5                   
