750 μm ,0.75 
W             ,N/A                  
large _w_           ,N/A                             
w             ,N/A                  
comparatively large diameter to that of the channel        ,N/A                       
small compared to particle diameter ,N/A                             
0.6 mm              ,0.6                             
200 μm ,0.2 
200 μm ,0.2 
200 μm ,0.2 
200 μm ,0.2 
200 μm ,0.2 
200 μm ,0.2 
100 µm              ,0.1                             
wc                  ,N/A                             
wc = 100 µm         ,0.1                             
"['50 µm', '100 µm', '150 µm', '200 µm'] ","[0.05, 0.1, 0.15, 0.2] "
w ,N/A 
1 mm ,1 
1 mm ,1 
40-lu ,N/A 
"['10 lu', '20 lu', '40 lu'] ","['0.01', '0.02', '0.04'] "
1 mm ,1 
1 mm ,1 
1 mm                ,1                               
"['10 lu', '20 lu', '40 lu'] ","[0.01, 0.02, 0.04] "
1 mm                ,1                               
600 μm ,0.6 
600 μm ,0.6 
WD ,N/A 
250 μm ,0.25 
gradually widened by 25% after the T-junction ,N/A 
"['150 μm', '250 μm', '350 μm'] ","[0.15, 0.25, 0.35] "
constant ,N/A 
"['150 μm', '250 μm', '350 μm'] ","[0.15, 0.25, 0.35] "
"['162μm', '166μm', '259μm', '258μm', '261μm', '257μm', '260μm', '257μm', '259μm', '354μm', '356μm', '348μm'] ","[0.162, 0.166, 0.259, 0.258, 0.261, 0.257, 0.26, 0.257, 0.259, 0.354, 0.356, 0.348] "
"['150 μm', '250 μm', '350 μm'] ","[0.15, 0.25, 0.35] "
ω_c            ,N/A                  
"['1.0', '0.5'] ","[1.0, 0.5]           "
"['0.5ωc', '1.0ωc'] ",N/A            
100            ,0.1                  
ω_d ,N/A 
"['0.5', '1.0'] ","[0.5, 1.0] "
1.0 ,1.0 
0.5 ,0.5 
0.5 ωc ,N/A 
"['50', '100'] ","[0.05, 0.1] "
400 μm        ,0.4                  
Ws            ,N/A                  
Ws                   ,N/A                             
400 μm ,0.4 
Ws ,N/A 
Ws ,N/A 
0.8 ,0.8 
0.4                 ,0.4                             
"large aperture in one case, much smaller in another  ",N/A                  
500 ± 50 µm                                          ,0.5 ± 0.05           
2 mm                                                 ,2                    
2 mm                                                 ,2                    
occupies most of the channel cross sections in smaller geometry ,N/A 
2 mm ± 100 µm ,2 ± 0.1 
orifice diameter ,N/A 
0.5 mm ,0.5 
600 μm         ,0.6                   
"['0.5', '1']   ","[0.5, 1.0]            "
100 µm         ,0.1                   
φ_c           ,N/A                  
1 mm          ,1                    
1 mm          ,1                    
"['65 μm', '100 μm', '200 μm']    ","[0.065, 0.1, 0.2]    "
"['200 μm', '100 μm', '65 μm']    ","[0.2, 0.1, 0.065]    "
200 μm                           ,0.2                  
200 μm                           ,0.2                  
"['50 μm', '500 μm'] ","[0.05, 0.5]                     "
"['200 μm', '100 μm', '65 μm'] ","[0.2, 0.1, 0.065] "
microcapillary      ,N/A                             
220 μm              ,0.22                            
220 μm              ,0.22                            
90 μm               ,0.09                           
400 μm         ,0.4                   
'200 μm' ,0.2 
'w' ,'N/A' 
"['275 μm', '200 μm'] ","[0.275, 0.2] "
'w' ,'N/A' 
"['100 μm', '50 μm'] ","[0.1, 0.05] "
40 μm diameter      ,0.04                            
"['27.5 μm', '40 μm']","[0.0275, 0.04]                  "
w                   ,N/A                             
"['50 μm', '50 μm']  ","[0.05, 0.05]                    "
250-350 μm         ,0.25-0.35                       
1 mm                ,1                               
1 mm                ,1                               
0.007 inch          ,0.1778                          
"['flat channels E-1', 'flat channels E-3', 'quadratic channels'] ","['1.0', '3.0', 'N/A'] "
"['1.0', '1.5', '2.0', '2.0', '2.0']                   ","['1.0', '1.5', '2.0', '2.0', '2.0'] "
"['300 μm', '600 μm', '800 μm'] ","[0.3, 0.6, 0.8] "
"['250 μm', '500 μm', '750 μm'] ","[0.25, 0.5, 0.75] "
'φ500 μm' ,0.5 
"['250 μm', '500 μm', '750 μm'] ","[0.25, 0.5, 0.75] "
'300 μm' ,0.3 
size determined by diameter of gel wire ,N/A 
"['250 μm', '500 μm', '750 μm'] ","[0.25, 0.5, 0.75] "
square cross-section ,N/A 
"['500 μm', '500 μm', '289 μm'] ","[0.5, 0.5, 0.289] "
0.40 mm             ,0.40                            
0.40 mm             ,0.40                            
0.20 mm        ,0.20                 
0.20 mm        ,0.20                 
2 mm ,2 
400 μm         ,0.4                  
30 grids       ,N/A                  
0.4 mm         ,0.4                  
0.4            ,0.4                  
w ,N/A 
w_C            ,N/A                   
w_D            ,N/A                  
100 µm         ,0.1                  
wc                  ,N/A                             
w                   ,N/A                             
w                   ,N/A                             
wd                  ,N/A                             
d                   ,N/A                             
1 mm                ,1                               
1 mm           ,1                    
100 μm              ,0.1                       
w                   ,N/A                       
100 μm              ,0.1                        
750 μm              ,0.75                            
750 μm              ,0.75                            
jet width           ,N/A                             
200 µm         ,0.2                  
200 µm         ,0.2                  
100 µm         ,0.1                  
100 µm         ,0.1                  
100 µm         ,0.1                  
200 µm         ,0.2                  
500 um         ,0.5                  
200 µm         ,0.2                  
"['200 µm', '100 µm'] ","[0.2, 0.1] "
100 µm         ,0.1                  
200 µm         ,0.2                  
400 μm         ,0.4                   
400 μm         ,0.4                   
m              ,N/A                   
wc             ,N/A                   
wc             ,N/A                   
400 μm              ,0.4                             
800 µm              ,0.8                            
"['200 µm', '100 µm']","[0.2, 0.1]                     "
Wc                  ,N/A                            
['Wc']              ,[N/A]                          
"['100 µm', '200 µm']","[0.1, 0.2]                      "
['square flow channel'] ,N/A                       
'200μm'             ,0.2                            
"['389', '410', '428', '376', '400', '394'] ","[0.389, 0.41, 0.428, 0.376, 0.4, 0.394] "
100μm               ,0.1                             
m              ,N/A                  
400 μm         ,0.4                  
400 μm         ,0.4                  
365 μm              ,0.365                           
W                   ,N/A                             
W                   ,N/A                             
75 μm    ,0.075          
d        ,N/A            
"minimum width of the bubble neck, m ",N/A                             
0.4 mm              ,0.4                             
wc                  ,N/A                             
0.4 mm              ,0.4                            
0.8 mm        ,0.8                  
_b_           ,N/A                  
R             ,N/A                  
wc            ,N/A                  
0.6 mm        ,0.6                  
d0            ,N/A                  
"['200 μm', '100 μm', '50 μm'] ","[0.2, 0.1, 0.05] "
'200 μm'            ,0.2                             
"['200 μm', '50 μm'] ","[0.2, 0.05]                     "
100 μm ,0.1 
"['180.14 μm', '580 μm'] ","[0.18014, 0.58]       "
D_out                ,N/A                   
"['107.84 μm', '57.91 μm'] ","[0.10784, 0.05791] "
D_i ,N/A 
inner wall radius of the microtubing = 0.43 mm ,0.43 
D_in ,N/A 
D_2in ,N/A 
0.78 mm             ,0.78                            
0.25 (branch channel width/main channel width) ,N/A 
W                   ,N/A                             
0.25 (width ratio of branch channel to main channel) ,N/A 
200 μm              ,0.2                             
500 μm        ,0.5                  
W             ,N/A                  
200 µm              ,0.2                             
100 μm         ,0.1                  
500 μm         ,0.5                  
50 μm          ,0.05                 
100 μm         ,0.1                  
varied ,N/A 
200 μm ,0.2 
100 μm ,0.1 
0.75 mm             ,0.75                            
0.6 mm              ,0.6                             
sub-millimeter      ,N/A                             
0.75 mm             ,0.75                            
0.40 mm to 0.69 mm  ,"[0.40, 0.69]                    "
0.40 mm       ,0.40                 
W             ,N/A                  
0.40 mm             ,0.40                       
1.4 mm        ,1.4                  
100 μm              ,0.1                            
w                   ,N/A                            
100±2 µm            ,0.1±0.002                      
100 μm              ,0.1                             
100±2μm             ,0.1±0.002                       
800 μm              ,0.8                             
wc                  ,N/A                             
wc                  ,N/A                             
600 μm              ,0.6                             
155 μm              ,0.155                          
"['116 μm', '166 μm']","[0.116, 0.166]                 "
W                   ,N/A                            
"['151 μm', '166 μm']","[0.151, 0.166]                 "
150 μm         ,0.15                  
150 μm         ,0.15                  
100 μm ,0.1 
m                                                          ,N/A                   
"1 mm, 0.8 mm, 0.6 mm                                       ","1, 0.8, 0.6           "
wc                                                         ,N/A                   
reduction can significantly reduce the bubble generation volume ,N/A                   
wc                                                         ,N/A                   
m                   ,N/A                        
200 μm ,0.2 
200 μm ,0.2 
70 μm          ,0.07                 
15 mm          ,15                   
0.325 mm       ,0.325                
8.2 mm        ,8.2                  
0.325 mm      ,0.325                
100 µm ,0.1 
100 µm ,0.1 
"['2.5', '4.0'] ","[2.5, 0.004] "
wc                  ,N/A                             
wc                  ,N/A                             
Λ = 1               ,N/A                             
wd                  ,N/A                             
wd                  ,N/A                             
Λ = 1               ,N/A                             
wc                  ,N/A                             
200 μm              ,0.2                             
"['150 μm', '300 μm']","[0.15, 0.3]                     "
designed ratio Λ = wd/wc = 0.5 ,N/A                 
increased            ,N/A                             
identical            ,N/A                             
1/2                 ,N/A                             
wd                  ,N/A                             
"['150 μm', '300 μm'] ","[0.15, 0.3]                    "
increases with increased cross-sectional area ,N/A   
w             ,N/A                  
w             ,N/A                  
_w_           ,N/A                  
136 μm        ,0.136                
win                 ,N/A                            
b                   ,N/A                            
['different w in']  ,N/A                            
"['w', '2d']         ",N/A                            
_w_ in              ,N/A                            
"['136 μm', '194 μm', '252 μm', '194 μm'] ","[0.136, 0.194, 0.252, 0.194] "
'400 μm' ,0.4 
'400 μm' ,0.4 
'fixed' ,'N/A' 
"['500 μm', '150 μm', '600 μm'] ","[0.5, 0.15, 0.6] "
fixed               ,N/A                            
200 µm              ,0.2                        
200 µm              ,0.2                        
0.4 mm              ,0.4                             
normalized by       ,N/A                             
0.4 mm              ,0.4                             
wd                  ,N/A                             
"['2 mm', '1 mm'] ","[2, 1] "
'2 mm' ,2 
'2 mm' ,2 
'Wm'                ,'N/A'                           
'67 μm'             ,0.067                           
'100 µm'            ,0.1                             
'w_c = 100 µm'      ,0.1                             
'200 um'            ,0.2                             
'200 μm'            ,0.2                             
'1 mm'             ,1                               
'w_d = 100 µm'     ,0.1                             
'100 μm'           ,0.1                             
2.5 mm         ,2.5                   
8 cm           ,80                    
1.6 mm              ,1.6                             
"['100 μm', '150 μm', '200 μm'] ","[0.1, 0.15, 0.2] "
"['100 μm', '150 μm', '200 μm'] ","[0.1, 0.15, 0.2] "
wc ,N/A 
100 μm         ,0.1                  
100 μm         ,0.1                  
600 μm         ,0.6                  
100 μm ,0.1 
25 μm               ,0.025                           
constant during initial stage ,N/A                     
500 μm              ,0.5                             
300 μm              ,0.3                             
w                   ,N/A                             
w                   ,N/A                             
w                   ,N/A                             
2w                  ,N/A                             
w                   ,N/A                             
small               ,N/A                             
microchannel width (m) ,N/A                     
500 μm              ,0.5                            
370 μm ,0.37 
370 μm ,0.37 
1.6 mm              ,1.6                            
variable (w_0/w_1 ratio) ,N/A                             
200 μm              ,0.2                             
360 μm              ,0.36                            
"['1 mm', '1.414 mm', '2 mm'] ","[1, 1.414, 2] "
Wi                  ,N/A                             
±26 μm              ,±0.026                          
"['1 mm', '1.414 mm'] ","[1, 1.414] "
reduced in Block-II and Block-III ,N/A 
"['2', '1.414', '1'] ","[0.002, 1.414, 0.001] "
reduced in Block-II and Block-III ,N/A                 
w              ,N/A                  
100 μm         ,0.1                  
wc            ,N/A                  
400 μm        ,0.4                  
wd                  ,N/A                        
100 μm ,0.1 
100 μm              ,0.1                       
100 μm ,0.1 
"['80 μm', '100 μm', '120 μm'] ","[0.08, 0.1, 0.12] "
100 μm              ,0.1                             
"['0.5 mm', '0.8 mm', '1 mm', '3 mm'] ","[0.5, 0.8, 1, 3] "
"['0.5 mm', '0.8 mm', '1 mm', '3 mm'] ","[0.5, 0.8, 1, 3] "
'3 mm'              ,3                               
"['0.5 mm', '0.8 mm', '1 mm', '3 mm'] ","[0.5, 0.8, 1, 3] "
"['0.5 mm', '3 mm', '0.8 mm', '1 mm'] ","[0.5, 3, 0.8, 1] "
"'0.5, 0.8, 1, and 3 mm' ","[0.5, 0.8, 1, 3] "
"['0.5 mm', '0.8 mm', '1 mm', '3 mm'] ","[0.5, 0.8, 1, 3] "
"['0.5 mm', '0.8 mm', '1 mm', '3 mm'] ","[0.5, 0.8, 1, 3] "
"['0.5 mm', '0.8 mm', '1 mm', '3 mm'] ","[0.5, 0.8, 1, 3] "
1000 μm             ,1                               
1000 μm             ,1                               
larger              ,N/A                             
1000 μm             ,1                               
"_d_ = 50, 75, and 100 μm ","[0.05, 0.075, 0.1]          "
"['50 μm', '75 μm', '100 μm'] ","[0.05, 0.075, 0.1] "
"['30 μm', '40 μm'] ","[0.03, 0.04] "
500 μm ,0.5 
"['700 μm', '300 μm'] ","[0.7, 0.3] "
500 μm ,0.5 
deforming channel   ,N/A                             
50 µm               ,0.05                            
50 LU scaled to 50 μm ,0.05                        
"['22 µm', '4.5 µm', '22.5 µm'] ","[0.022, 0.0045, 0.0225] "
equal to the width of channel mentioned ,N/A         
1 mm          ,1                               
w             ,N/A                             
_w ,N/A 
2.00 mm             ,2.00                            
constant thickness  ,N/A                             
constant thickness  ,N/A                             
25 μm          ,0.025                
25 μm          ,0.025                
300 μm              ,0.3                             
W                   ,N/A                             
300 μm              ,0.3                             
W             ,N/A                  
300 μm        ,0.3                  
200 μm              ,0.2                             
200 µm              ,0.2                             
w                   ,N/A                             
related to pressure drop ,N/A                     
200 μm              ,0.2                            
100 µm              ,0.1                            
Wc                  ,N/A                             
various             ,N/A                             
Wd                  ,N/A                             
30 µm to 120 µm    ,"[0.03, 0.12]                   "
30 µm to 20 µm      ,"[0.03, 0.02]                   "
59 μm               ,0.059                          
600 μm              ,0.6                            
"['100 µm', '400 µm'] ","[0.1, 0.4] "
0.40 mm             ,0.40                           
W                   ,N/A                            
"['0.40 mm', '0.32 mm'] ","[0.40, 0.32]                  "
'1.02 mm'           ,1.02                            
'W'                 ,'N/A'                           
['microchannel 1']  ,'N/A'                           
['wd']              ,'N/A'                           
'W'                 ,'N/A'                           
"['100 μm', '60 μm'] ","[0.1, 0.06]                    "
100 μm              ,0.1                            
100 μm              ,0.1                            
60 μm               ,0.06                           
25 μm               ,0.025                          
106 μm              ,0.106                           
wc                  ,N/A                             
106 μm              ,0.106                           
wc                  ,N/A                             
wc-b                ,N/A                             
wc                  ,N/A                             
wc                  ,N/A                             
wc                  ,N/A                             
wc                  ,N/A                             
wc                  ,N/A                             
wd            ,N/A                  
wd            ,N/A                  
200 ± 5 μm       ,0.200 ± 0.005        
100 μm          ,0.1                  
100 μm         ,0.1                    
340 μm         ,0.34                   
400 μm         ,0.4                  
200 μm         ,0.2                  
200 μm         ,0.2                  
365 μm    ,0.365          
100–300 μm           ,0.1–0.3               
w                    ,N/A                   
1mm                  ,1                     
w                    ,N/A                   
"['1 mm', '2 mm']     ","[1, 2]                "
w                    ,N/A                   
win                     ,N/A                    
win                     ,N/A                    
"['1 mm', '2 mm']        ","['1', '2']             "
"['0.5 mm', '1 mm']      ","['0.5', '1']           "
0.5 mm                  ,0.5                    
5.6 mm     ,5.6         
"['50', '70', '80']  ","[0.05, 0.07, 0.08]    "
"['50 μm', '70 μm', '100 μm'] ","[0.05, 0.07, 0.1] "
400 μm         ,0.4                  
400 μm         ,0.4                  
460 μm         ,0.46                 
"['160 μm', '40 μm', '120 μm', '160 μm'] ","[0.16, 0.04, 0.12, 0.16] "
200 or 400 μm         ,0.2 or 0.4            
400 μm                ,0.4                   
"['200 μm', '400 μm']  ","[0.2, 0.4]            "
400 μm                ,0.4                   
50 or 100 μm        ,"[0.05, 0.1]                     "
600 μm                                            ,0.6                   
"['1/2 original width', '1/3 original width']      ",N/A                   
"['310 μm for T2', '180 μm for T3']                ","[0.31, 0.18]          "
190 μm ,0.19 
0.8 mm         ,0.8                   
wc             ,N/A                   
"['0.8 mm', '0.6 mm']","[0.8, 0.6]                      "
wc                  ,N/A                             
'200 µm'                              ,0.2                   
"['30 µm', '40 µm', '50 µm', '60 µm', '70 µm', '90 μm'] ","[0.03, 0.04, 0.05, 0.06, 0.07, 0.09]"
'30–90 µm'                            ,"[0.03, 0.09]          "
"'30 µm, 90 µm'                        ","[0.03, 0.09]          "
100 µm ,0.1 
['50 µm'] ,[0.05] 
"30 µm, 90 µm ","0.03, 0.09 "
"['0.53', '0.78']                  ","['0.530', '0.780']           "
"['0.2437', '0.2122']              ","['0.2437', '0.2122']         "
0.270               ,0.270                      
290-450 μm          ,"[0.29, 0.45]                    "
average value of the long and short edges ,N/A     
370 μm              ,0.37                            
wide measurement channel ,N/A                     
800 μm              ,0.8                             
main channel        ,N/A                             
equal to the width of the main channel initially ,N/A 
estimated as channel width ,N/A                 
1.25 mm        ,1.25                  
"['1.25 mm', '1.6 mm'] ","[1.25, 1.6]                   "
'1.25 mm'           ,1.25                            
wcont         ,N/A                  
wcont         ,N/A                  
300 μm        ,0.3                  
300 μm        ,0.3                  
300 μm        ,0.3                  
100 µm        ,0.1                  
wchannel      ,N/A                  
wdisp               ,N/A                             
wdisp               ,N/A                             
wdisp               ,N/A                             
300 μm              ,0.3                             
300 μm              ,0.3                             
wchannel-2δ         ,N/A                             
400 μm         ,0.4                            
Wc             ,N/A                            
"Wr,c           ",N/A                            
reduced             ,N/A                             
200 μm         ,0.2                  
1 mm           ,1                    
100 μm         ,0.1                  
1 mm                ,1                              
"['60 μm', '90 μm', '250 μm', '350 μm'] ","[0.06, 0.09, 0.25, 0.35] "
60 μm ,0.06 
250 μm ,0.25 
200 μm ,0.2 
250 μm ,0.25 
60 μm ,0.06 
250 μm              ,0.25                            
100 μm              ,0.1                             
Minimum width set by plotter blade ,N/A                 
0.40 mm        ,0.40                 
W              ,N/A                  
W              ,N/A                  
microchannels with square or rectangular sections    ,N/A                  
100 μm                                               ,0.1                  
_L_ a                                                ,N/A                  
W_c                                                  ,N/A                  
100 μm                                               ,0.1                  
'100 μm'            ,0.1                             
'_L_ a'             ,'N/A'                           
"['W_l', 'W_c']      ","['N/A', 'N/A']                 "
200 μm ,0.2 
200 μm ,0.2 
750 μm                                           ,0.75                 
365 μm                                           ,0.365                
550 μm or 320 μm                                 ,"[0.55, 0.32]         "
main channel larger than gas injector           ,N/A                  
"['width of the gas injector', 'capillary diameter'] ",N/A 
"['50 μm', '100 μm', '200 μm', '320 μm', '550 μm'] ","[0.05, 0.1, 0.2, 0.32, 0.55] "
'50 μm' ,0.05 
'550 μm or 320 μm' ,"[0.55, 0.32] "
'100 μm' ,0.1 
'50 μm' ,0.05 
'smaller gas injector diameter' ,N/A 
0.8 mm         ,0.8                  
"thinning rate increases, duration of squeezing stage decreases ",N/A 
980 μm         ,0.98                 
960 μm              ,0.96                           
"['20 μm', '200 μm', '400 μm']     ","[0.02, 0.2, 0.4]      "
200 µm                            ,0.2                   
100 μm ,0.1 
w ,N/A 
400 μm         ,0.4                   
200 μm         ,0.2                   
75 μm          ,0.075                 
75 μm ,0.075 
259 μm ,0.259 
narrowing      ,N/A                  
400 μm         ,0.4                  
400            ,0.4                  
"['60', '200'] ","[0.06, 0.2] "
weakened role of channel walls in droplet breakup at cross junction  ,N/A                  
400 μm                                                                ,0.4                  
72.8 μm                                                               ,0.0728               
W                                                                     ,N/A                  
800 μm              ,0.8                            
w_tunnel            ,N/A                            
303 μm         ,0.303                 
100 μm         ,0.1                   
w c            ,N/A                   
100 μm         ,0.1                   
w c            ,N/A                   
w c            ,N/A                   
24 μm               ,0.024                          
200 μm        ,0.2                  
100 μm        ,0.1                  
100 μm        ,0.1                  
100 μm        ,0.1                  
200 μm        ,0.2                  
"['200 μm', '100 μm']","[0.2, 0.1]                      "
"['200 μm', '100 μm']","[0.2, 0.1]                      "
6 mm                ,6                               
ccap                ,N/A                             
capillary diameter  ,N/A                             
200 μm              ,0.2                             
100 μm              ,0.1                             
100                  ,0.1                             
200 μm   ,0.2       
100 µm   ,0.1       
200 μm              ,0.2                             
w                   ,N/A                             
200 μm              ,0.2                             
200 μm              ,0.2                             
200 μm              ,0.2                             
w                   ,N/A                             
'62.4-70.8'    ,0.0624-0.0708         
'76 mm'             ,76                              
"['Chips A', 'Chips B', 'Chips C'] ","['N/A', 'N/A', 'N/A'] "
600 μm        ,0.6                  
w_c            ,N/A                  
0.4 mm         ,0.4                  
_w_ c          ,N/A                  
w_c            ,N/A                  
0.4 mm         ,0.4                  
0.4 mm              ,0.4                             
_w_ m               ,N/A                             
D1       ,N/A       
Wc       ,N/A       
Wd       ,N/A       
wm       ,N/A       
D0                  ,N/A                             
Wd                  ,N/A                             
0.1 mm              ,0.1                             
W = 200 μm          ,0.2                             
0.1 mm              ,0.1                             
"['0.2 mm', '0.4 mm', '0.6 mm', '1 mm']                  ","[0.2, 0.4, 0.6, 1]       "
from 600 μm to 1200 μm in the downstream channel        ,"[0.6, 1.2]               "
ID                   ,N/A             
"['300 μm', '100 cm'] ","[0.3, 1000]     "
_ID_           ,N/A                   
W                               ,N/A                  
equal width of the junction     ,N/A                  
2              ,2                    
0.6 mm         ,0.6                   
1.02 × 10−3 m                                      ,1.02           
"0.4 × 10−3 m, 0.7 × 10−3 m, 1.0 × 10−3 m          ","0.4, 0.7, 1.0  "
decreases                                          ,N/A            
wider                                              ,N/A            
0.4 × 10−4 m                                                       ,0.00004              
increase leads to increase in growth rate of farthest distance with time ,N/A                  
"['increases', 'decreases']                                         ",N/A                  
600 μm         ,0.6                  
600 μm         ,0.6                  
38 μm          ,0.038                
"['175 μm', '50 μm']    ","[0.175, 0.05]        "
610 μm         ,0.61                 
300 µm         ,0.3                   
400 μm         ,0.4                  
400 μm         ,0.4                  
"[200, 200, 2]  ","[0.2, 0.2, 2]        "
wm             ,N/A                  
200 μm         ,0.2                  
240 μm         ,0.24                 
120 μm         ,0.12                  
"['2', '4', '8']","[0.002, 0.004, 0.008] "
"['260 μm', '760 μm'] ","[0.26, 0.76]          "
"['260 μm', '760 μm']     ","[0.26, 0.76]           "
"['760 μm', '260 μm']     ","[0.76, 0.26]           "
"['760 μm', '260 μm']     ","[0.76, 0.26]           "
0.6 mm              ,0.6                             
"['10.3–25.3', '12.6–30.8', '16.9–42.7'] ","['0.0103–0.0253', '0.0126–0.0308', '0.0169–0.0427'] "
"['0.37', '3.1', '13.7'] ","['0.37', '3.1', '1.37'] "
large          ,N/A                   
large          ,N/A                   
20 μm ,0.02 
200 μm         ,0.2                  
100 μm         ,0.1                  
400 μm         ,0.4                   
20 lattices    ,N/A                   
w              ,N/A                   
200 μm               ,0.2                  
10 lattices          ,N/A                  
400 μm         ,0.4                  
500 μm         ,0.5                  
0.5 mm         ,0.5                  
500 μm              ,0.5                             
similar size        ,N/A                             
100 μm ,0.1 
reduced        ,N/A                   
200 μm         ,0.2                  
200 μm         ,0.2                  
50 mm          ,50                   
w              ,N/A                  
0.5 mm                        ,0.5                    
"['2 mm', '3 mm', '4 mm']      ","[2, 3, 4]              "
"['2 mm', '3 mm', '4 mm']      ","[2, 3, 4]              "
"['2 mm', '3 mm', '4 mm']      ","[2, 3, 4]              "
Certain width       ,N/A                             
LC             ,N/A                   
"['influences droplet formation', 'investigated in symmetric and asymmetric settings'] ","['N/A', 'N/A']            "
1000 μm                                                                              ,1                         
1000 μm                                                                              ,1                         
200 μm         ,0.2                  
various        ,N/A                   
['wd']              ,['N/A']                       
"['wd/wc=1', 'wd/wc=1.5'] ","['N/A', 'N/A']          "
w_c                                     ,N/A                  
wc                                      ,N/A                  
W = 0.5                                 ,0.5                  
0.5                                     ,0.5                  
"['0.5', '1', '1.5', '2']                ","[0.5, 0.001, 0.0015, 0.002] "
1                                       ,0.001                
0.5                                     ,0.5                  
0.5                                     ,0.5                  
0.5                                     ,0.5                  
ratio of width ,N/A 
w_d ,N/A 
wd ,N/A 
"['0.5', '1', '1.5', '2'] ","['0.5', '1', '1.5', '2'] "
