1880 kg m−3    ,1880                          
'ρ_d = 950 kg/m3'   ,950                          
'1000 kg/m3'        ,1000                         
935 kg/m3           ,935                 
997 kg/m3           ,997                 
ρ_l            ,N/A                         
'ρ_g'          ,'N/A'                       
'ρl' ,'N/A' 
1.16 ,1160 
['1050 ± 8'] ,['1050 ± 8'] 
1.225 ,1.225 
'780.0' ,780.0 
ρ1                                              ,N/A                        
ρc                                              ,N/A                        
10 times the density of the dispersed phase    ,N/A                        
"['0.98', '0.98', '0.98', '0.98', '10', '0.98', '0.98'] ","['980', '980', '980', '980', '10000', '980', '980'] "
'ρ2'                ,'N/A'                        
'ρd'                ,'N/A'                        
'1/10th of the density of the continuous phase' ,'N/A' 
'Smaller droplets form with an increase in density ratio' ,'N/A' 
ρ1             ,N/A                        
'ρ2' ,'N/A' 
ρc             ,N/A                        
'ρd' ,'N/A' 
'ρ_silicone oil' ,'N/A' 
'300 kg/m3' ,300 
'922 kg/m3'    ,922                         
'997.1 kg/m3' ,997.1 
'1.21 g/cm3' ,1210 
'assumed the same for all phases' ,'N/A' 
"['0.76 g/mL', '0.77 g/mL'] ","[760, 770] "
assumed the same for all phases ,N/A 
'ρL: liquid density (kg m–3)' ,'N/A'                        
'ρL: liquid density (kg m–3)' ,'N/A'                        
'1.145'             ,1145                         
"['997', '1063', '1113'] ","['997', '1063', '1113'] "
'ρ_L'          ,'N/A'                        
'1.2'          ,1.2                          
'ρ_L'          ,'N/A'                         
'998'          ,998                           
expressed in terms of αc      ,N/A               
980 kg m−3                    ,980               
'expressed in terms of αd' ,'N/A'                
'980 kg m−3'        ,980                          
"liquid phase density, kg m−3 ",N/A                          
'low-density'       ,'N/A'                        
'lower than normal-density gas' ,'N/A'          
'low'               ,'N/A'                        
'0.000075~0.00009'  ,"[75, 90]                     "
'same as that of the CTAC/NaSal solution' ,'N/A' 
"[1102, 1100, 1086, 1058] ","[1102000, 1100000, 1086000, 1058000] "
"['1 × 105', '3 × 105', '1 × 106'] ","[100000.0, 300000.0, 1000000.0] "
'1000 kg/m3' ,1000 
'1000 kg/m3' ,1000 
'ρ' ,'N/A' 
'ρ1' ,'N/A' 
'ρ' ,'N/A' 
'ρ2' ,'N/A' 
Refer to Table 1     ,N/A                        
6 × 106 cells ml−1             ,N/A                        
826             ,826                       
ρ_c            ,N/A                        
'ρ_d' ,'N/A' 
'ρL'          ,'N/A'                        
'ρL'          ,'N/A'                        
'ρG'          ,'N/A'                        
'320 ± 0.001 g','N/A'                         
'ρG'           ,'N/A'                         
'ρL'           ,'N/A'                         
999 kg/m³      ,999                       
980 kg/m3      ,980                       
'970 kg/m³' ,970 
"['1100 kg/cm3', '1184 kg/cm3'] ","[1.1e12, 1.184e12] "
'1000 kg/m3' ,1000 
0.77 g/cc      ,770                       
980 kg/m³      ,980                       
"['0.77 g/cc', '0.84 g/cc'] ","[770, 840] "
'1000 kg/m³' ,1000 
'998'          ,998                        
'947' ,947 
997            ,997                         
"['745', '845', '935'] ","['745000', '845000', '935000'] "
1050 kg∙m–3                                        ,1050                
"['998.87', '999.11', '999.37', '999.84']           ","[998.87, 999.11, 999.37, 999.84] "
ρw             ,N/A                        
ρo             ,N/A                        
ρo             ,N/A                        
'ρd' ,'N/A' 
"[1156, 1178, 1206, 1223, 1232, 1237] ","[1156, 1178, 1206, 1223, 1232, 1237] "
'ρ' ,'N/A' 
increased viscosity leads to smaller droplet size and decreased inter-distance between droplets ,N/A                  
"['1037 ± 3.7', '1052 ± 5.2', '1067 ± 6.7', '1052 ± 5.3', '1052 ± 5.2', '1053 ± 2.1', '1053 ± 5.3', '1054 ± 5.4', '1055 ± 5.4'] ","['1037 ± 3.7', '1052 ± 5.2', '1067 ± 6.7', '1052 ± 5.3', '1052 ± 5.2', '1053 ± 2.1', '1053 ± 5.3', '1054 ± 5.4', '1055 ± 5.4'] "
1000 kg m−3      ,1000                
1000 kg/m^3      ,1000                
"['875.1 kg m−3', '1259.5 kg m−3'] ","[875.1, 1259.5] "
'850 kg/m^3' ,850 
872.5 kg/m^3     ,872.5             
'kg m−3' ,'N/A' 
'ρd' ,'N/A' 
"[1125.8, 1102.3, 1108.9, 1100.7] ","[1125800, 1102300, 1108900, 1100700] "
ρL                          ,N/A                          
"[1.16, 11.64, 23.28, 34.92, 46.56, 58.20] ","[1160, 11640, 23280, 34920, 46560, 58200] "
'varied in the range of 0.1∼5.0 MPa' ,'N/A' 
'ρr'                ,'N/A'                        
ρL                                                      ,N/A                                
ρL                                                      ,N/A                                
"['997.8 kg/m^3', '998.2 kg/m^3', '998.6 kg/m^3', '999.0 kg/m^3'] ","[997.8, 998.2, 998.6, 999.0]       "
'ρL' ,'N/A' 
'ρL' ,'N/A' 
ρ              ,N/A                       
789.43 g/cm3   ,789430                    
"['998.30', '1012.10', '1043.95', '1047.46'] ","[998.3, 1012.1, 1043.95, 1047.46] "
ρ_c = 1000 kg/m3           ,1000                       
ρ_d = 950 kg/m3       ,950                        
kg/m3          ,N/A                        
constant       ,N/A                        
'1.05 g mL−1' ,1050 
'909 kg/m3' ,909 
heavy phase (kgm3)   ,N/A                        
light phase          ,N/A                        
1005 kg/m3           ,1005                       
"['0.1', '0.01']      ","['100', '10']              "
0.01                 ,10                         
1.51 g/cm3     ,1510                       
'0.838 g/mL' ,838 
'838 kg m−3' ,838 
1100 kg m−3        ,1100                      
"['1206.3', '1223.7', '1237.0'] ","['1206.3', '1223.7', '1237.0'] "
'1880 kg∙m−3'  ,1880                         
'1g/mL'        ,1000                         
0.97g/mL       ,970                          
"['985.6', '997.6', '998.2'] ","['985.6', '997.6', '998.2'] "
"['846', '880.9', '865.2'] ","['846000', '880900', '865200'] "
1.02           ,1.02                         
['Density matched (40/60% chloroform/cyclohexane (w/w))']                      ,['N/A']                  
0.97                                                                           ,970                       
'854 kg m−3' ,854 
987 kg m−3     ,987                       
[]              ,N/A               
low density     ,N/A               
ρaq                     ,N/A                       
"['900', '812', '802', '998'] ","['900', '812', '802', '998'] "
ρorg           ,N/A                        
'1000 kg/m3'   ,1000                       
'998'          ,998                        
920 kg/m3      ,920                       
674            ,674                       
Calculated from ρ = (ηrel * ρ0 * t0) / t                                                  ,N/A               
979.9 kg/m3      ,979.9                      
824 kg/m3      ,824                        
'constant'    ,'N/A'                        
'ρ1'          ,'N/A'                        
'920'         ,920                          
constant       ,N/A                        
ρ2             ,N/A                        
1155           ,1155                       
ρC             ,N/A                       
ρ              ,N/A                        
heavy               ,N/A                          
Density of light phase ,N/A                      
"['heavy fluid (ρ1)', 'light fluid (ρ2)'] ","['N/A', 'N/A'] "
0.2                 ,200                          
0.1                 ,100                          
ρc             ,N/A                        
ρd             ,N/A                       
'ρ'            ,'N/A'                        
'980 kg/m3'    ,980                          
ρ              ,N/A                           
1000 kg/m3     ,1000                          
ρ              ,N/A                        
0.867          ,N/A                        
ρ               ,N/A                       
0.998           ,998                       
1000 kg/m3       ,1000                      
1                ,N/A                       
1000 kg/m3       ,1000                      
1                ,N/A                       
unity            ,N/A                       
1000 kg/m3           ,1000                      
1                    ,N/A                       
1000 kg/m3           ,1000                      
1                    ,N/A                       
unity                ,N/A                       
"['1004 ± 3', '1015 ± 4', '1032 ± 6', '1063 ± 6'] ","['1004 ± 3', '1015 ± 4', '1032 ± 6', '1063 ± 6'] "
4.8–5.2 g m/cm3        ,"[4800, 5200]               "
under investigation    ,N/A                        
'1 kg/m3' ,1 
'1.204 kg/m3' ,1.204 
103 kg/m3       ,103                       
103 kg/m3       ,103                       
ρc             ,N/A                        
1000kg/m3      ,1000                       
'ρd' ,'N/A' 
'1000kg/m3' ,1000 
1000 kg/m3     ,1000                       
970 kg/m3      ,970                        
1000kg/m3      ,1000                       
'1000 kg/m3' ,1000 
'1000 kg/m3' ,1000 
ρ(ϕ)=ρoil+(ρwat−ρoil)ϕ	                        ,N/A                           
997.1                                            ,997.1                         
'838' ,'838' 
"density of CP, kg/m3                ",N/A                        
ρ_c                                 ,N/A                        
ρc                                  ,N/A                        
ρc                                  ,N/A                        
1                                   ,N/A                        
equal density of the phases         ,N/A                        
'ρ_d'               ,'N/A'               
'ρd'                ,'N/A'               
'ρd'                ,'N/A'               
'equal density of the phases' ,'N/A' 
'1.2 g/cm3'    ,1200                         
'ρ=ρ1+(ρ2−ρ1)φ'     ,'N/A'                        
'855 kg/m3'         ,855                          
'1020 kg/m3' ,1020 
'ρ' ,'N/A' 
'872.5 kg m−3'      ,872.5               
'1100 kg m−3' ,1100 
'ρ' ,'N/A' 
ρw               ,N/A                      
ρw               ,N/A                      
998 kg m−3       ,998                      
'ρo' ,'N/A' 
'827 kg m−3' ,827 
"[888, 899, 907] ","[888, 899, 907] "
'2 orders of magnitude smaller than those of the liquid phase' ,'N/A' 
'larger than that of the working solution' ,'N/A' 
constant       ,N/A                       
ρc             ,N/A                       
970 kg/m3      ,970                       
constant          ,N/A                        
ρd                ,N/A                        
1000 kg/m3        ,1000                       
ρ               ,N/A                      
1286 Kg m−3     ,1286                     
proprietary    ,N/A                        
'ρc'           ,'N/A'                        
"['820', '817'] ","['820', '817']               "
ρd             ,N/A                         
"['1000', '998'] ","['1000', '998']            "
1000 ,1000 
930            ,930                       
'950 kg/m3'    ,950                           
'ρc'           ,'N/A'                         
'ρc'           ,'N/A'                         
'998 kg/m3'    ,998                           
'1050 kg/m3'   ,1050                          
'ρd'           ,'N/A'                         
'ρd'           ,'N/A'                         
'ρd'           ,'N/A'                         
'ρd'           ,'N/A'                         
1.6 g/cm3      ,1600                          
'ρc'           ,'N/A'                        
'ρc'           ,'N/A'                        
'1000'         ,1000                         
ρd                      ,N/A                       
ρd                      ,N/A                       
900 kg/m³               ,900                       
"['750', '935']          ","['750', '935']            "
"['2.60 kg/m3', '1.27 kg/m3'] ","[2600, 1270] "
'lower initial gas density' ,'N/A' 
'ρG' ,'N/A' 
ρL             ,N/A                       
"['1,300 kg m−3', '1,260 kg m−3', '1,000 kg m−3'] ","[1300, 1260, 1000]      "
measured                                  ,N/A                       
N/S ,N/A 
ρ1               ,N/A                        
1 × 103 kg/m3    ,1000                       
ρ2                      ,N/A                       
1 × 103 kg/m3           ,1000                      
930 kg/m3       ,930                         
1000 kg/m3     ,1000                       
'840 kg/m3'         ,840                          
998 kg/m3       ,998                         
ρ_L                                                     ,N/A               
1.2 kg/m3                                               ,1.2               
linear interpolation based on phase fraction C          ,N/A               
'ρ_G'               ,'N/A'                        
'103 kg/m3'         ,103                          
'linear interpolation based on phase fraction C' ,'N/A' 
ρ1                  ,N/A                      
1.00×103 kg/m3      ,1000                     
'ρ2'                ,'N/A'                        
'1.02×103 kg/m3'    ,1020                         
ρc              ,N/A                         
0.862g/cm3      ,862                         
0.5             ,0.5                         
0.789g/cm3      ,789                         
ρc              ,N/A                         
'ρd' ,'N/A' 
'1.0g/cm3' ,1000 
'1.0g/cm3' ,1000 
'0.0012g/cm3' ,1.2 
'103 kg/m3' ,103 
'ρL' ,'N/A' 
'1.225 kg/m3' ,1.225 
'ρG' ,'N/A' 
constant        ,N/A                        
ρ1              ,N/A                        
ρc              ,N/A                        
ρc              ,N/A                        
ρcp             ,N/A                        
1000 kg/m3      ,1000                       
'kg/m3'             ,'N/A'                        
'constant'          ,'N/A'                        
'ρ2'                ,'N/A'                        
'ρdp'               ,'N/A'                        
'ρdp'               ,'N/A'                        
'ρdp'               ,'N/A'                        
'ρdp'               ,'N/A'                        
'773 kg/m3'         ,773                          
ρ              ,N/A                       
Pc             ,N/A                       
'Pd'           ,'N/A'                         
1              ,1000                          
ρc             ,N/A                           
unity          ,N/A                           
1              ,N/A                          
ρ2             ,N/A                          
ρd             ,N/A                          
unity          ,N/A                          
'1' ,1 
'ρ' ,'N/A' 
1 ,1 
ρ ,N/A 
'996 kg·m–3' ,996 
'996 kg·m–3' ,996 
850 kg·m–3      ,850                        
ρ               ,N/A                        
850 kg·m–3      ,850                        
998 kg/m³      ,998                       
'875.1 kg/m3'  ,875.1                         
'ρc'           ,'N/A'                         
'1128 kg/m3' ,1128 
'ρd' ,'N/A' 
'ρd' ,'N/A' 
ρl ,N/A 
ρl ,N/A 
ρl ,N/A 
950 kg/m3 ,950 
'909.15 kg m−3' ,909.15 
'1000 kg/m3' ,1000 
'1000' ,1000 
'1000 kg/m3' ,1000 
'1020 kg/m3' ,1020 
'1020' ,'N/A' 
'1020 kg/m3' ,1020 
'ρc' ,'N/A' 
'ρd' ,'N/A' 
increases with addition of glycerin ,N/A          
far lower than liquid         ,N/A               
"['1.0052', '1.0059', '1.0075'] ","[1005.2, 1005.9, 1007.5] "
'1.0578' ,1057.8 
ρC             ,N/A                        
ρC             ,N/A                        
ρC             ,N/A                        
1940           ,1940                       
'Δρ'                ,'N/A'                        
'ρD'                ,'N/A'                        
'789'               ,789                          
ρ              ,N/A                       
1502           ,1502                      
8              ,N/A                       
1940                       ,1940                       
"['1250–1270', '789', '1003', '1005', '1006', '1020', '1027'] ","['1250', '1270', '789', '1003', '1005', '1006', '1020', '1027'] "
0.825–0.85 g mL−1       ,825–850                    
920 kg/m^3     ,920                        
1132 kg/m^3      ,1132                       
998 kg/m^3     ,998                        
965 kg/m^3     ,965                        
liquid-like                                   ,N/A                        
can be manipulated by temperature and pressure,N/A                        
High                                          ,N/A                        
increases under elevated pressures  ,N/A                       
980 kg m−3          ,980                         
998 kg m−3     ,998                        
920 kg/m3      ,920                        
'103 kg/m3' ,103 
1070 kg/m3                                        ,1070                       
controlled by continuous phase flow rate          ,N/A                        
ρC             ,N/A                        
ρG             ,N/A                        
1.205          ,1205                       
ρD                   ,N/A                        
998.2               ,998.2                      
'ρc' ,'N/A' 
"['1156.4', '1206.3', '1223.7', '1232.1', '1237.0'] ","[1156.4, 1206.3, 1223.7, 1232.1, 1237.0] "
provided in Table 1     ,N/A               
999.00         ,999                        
838.00     ,838       
ρc              ,N/A                        
ρ_c            ,N/A                        
ρ_d            ,N/A                       
ρd             ,N/A                       
1116.12 ± 0.01        ,1116.12 ± 0.01           
'858.48 ± 0.01'     ,'858.48'                     
997                    ,997       
"['786', '785', '800', '987.2', '975.6']                ","[786, 785, 800, 987.2, 975.6] "
ρc                                                                                                         ,N/A                 
984 kg/m^3                                                                                                 ,984                 
"['1240 kg/m^3', '2060 kg/m^3', '3100 kg/m^3', '4130 kg/m^3']                                               ","[1240, 2060, 3100, 4130] "
"['1240 kg/m^3', '2060 kg/m^3', '3100 kg/m^3', '4130 kg/m^3']                                               ","[1240, 2060, 3100, 4130] "
1240 kg/m^3                                                                                                ,1240                
'1162 kg/m^3' ,1162 
"[1000, 750, 935] ","[1000, 750, 935]         "
840 Kg/m3      ,840                         
840 Kg/m3      ,840                         
998 Kg/m3      ,998                         
α1ρ1           ,N/A                        
0.984 g/cm3    ,984                        
α2ρ2             ,N/A                        
1.162 g/cm3      ,1162                       
ρd               ,N/A                        
1000 kg m−3       ,1000              
'Changes with mass concentration of CMC' ,'N/A' 
'1000 kg m−3'       ,1000                         
ρc              ,N/A                        
kg⋅m−3          ,N/A                        
1006 ± 0.2%     ,1006                        
ρd                 ,N/A               
kg⋅m−3             ,N/A               
850 ± 0.2%         ,N/A               
998 kg/m3                     ,998               
1000 kg/m3                    ,1000              
1000 kg/m3                    ,1000              
1000 kg/m^3                   ,1000              
998 kg/m3                     ,998               
1000 kg/m3                    ,1000              
900 kg/m^3                    ,900               
1000 kg/m3                    ,1000              
'900 kg/m3' ,900 
'850 kg/m3' ,850 
'800 kg/m^3' ,800 
'965 kg/m3' ,965 
'965 kg/m3' ,965 
'1000 kg/m^3' ,1000 
'800 kg/m3' ,800 
,N/A                        
ρ                                                  ,N/A                        
"['1', '1', '1', '1', '1.06', '1.13', '1.16']      ","[1000, 1000, 1000, 1000, 1060, 1130, 1160] "
_ρ_                                               ,N/A                        
'' ,'N/A' 
'ρ' ,'N/A' 
'_ρ_' ,'N/A' 
809 kg·m–3          ,809                        
'0.179 kg·m–3' ,179 
'ρL' ,'N/A' 
'2ρ'           ,'N/A'                         
'Assumed to be incompressible' ,'N/A'             
'997 kg/m3' ,997 
'kg/m3' ,'N/A' 
αoρo+(1-αw)ρw                     ,N/A                    
ρ_d range from 950 to 970 kg/m³           ,"[950, 970]           "
ρW             ,N/A               
high                                        ,N/A               
ρP                                          ,N/A               
"['0.25 g', '0.50 g', '0.75 g']              ","[0.25, 0.50, 0.75]"
1000 kg/m3                                  ,1000                    
1.095 g/ml                                  ,1095                    
similar values                              ,N/A                     
ρ                                           ,N/A                     
"[948, 998, 1001, 1000.5, 1003]              ","[948, 998, 1001, 1000.5, 1003] "
950 kg/m3                    ,950               
0.95 g/ml @ 25°C             ,950               
ρ                            ,N/A               
890 kg/m3      ,890              
1190 kg/m3     ,1190             
constant       ,N/A              
constant       ,N/A               
ρ1             ,N/A               
998.2 kg/m3     ,998.2             
ρ2              ,N/A               
"[965, 970]     ","[965, 970]        "
2ρU            ,N/A               
1221           ,1221              
effective properties used                     ,N/A               
effective density from the macro fluid        ,N/A               
volume-averaged density                       ,N/A               
effective properties used     ,N/A                   
0.95 g/ml                 ,950               
similar to pure water     ,N/A               
Measured using RADWAG AS 220.R2                                                                                                             ,N/A                                
"['998 ± 0.9', '1001 ± 0.6', '1003 ± 0.1', '1004 ± 0.1', '999 ± 3.3']                                                                         ","[998, 1001, 1003, 1004, 999]       "
ρc                     ,N/A               
equal density          ,N/A               
ρR+ρB                  ,N/A               
1                      ,1                 
1.0×103kg/m3           ,1000              
1.0×10^3 kg/m^3        ,1000              
'equal density'                                           ,'N/A'                 
'ρk'                                                      ,'N/A'                 
'1'                                                       ,'N/A'                 
'1.0×103kg/m3'                                            ,1000                  
'1.0×10^3 kg/m^3'                                         ,1000                  
"['3625(Fink-ΔMk)', '3635(Fink-ΔMk)', '127(Fink-ΔMk)', '3629(Fink-ΔMk)'] ","[3625, 3635, 127, 3629] "
