'48.3 ± 1 mN m−1'   ,0.0483 ± 0.001               
σ ,N/A 
large ,N/A 
σ ,N/A 
σ ,N/A 
larger than that for liquid–liquid systems ,N/A        
'σ'                 ,'N/A'                        
'Low'               ,'N/A'                        
5.37                ,0.00537                      
'constant'          ,'N/A'                        
"['45.57 ± 0.96 mN/m', '24.4 ± 2.5 mN/m'] ","[0.04557 ± 0.00096, 0.0244 ± 0.0025] "
'σ'                 ,'N/A'                        
σ                   ,N/A                          
'systematically altered' ,'N/A'                        
"['0.0258 N/m', '0.0053 N/m'] ","[0.0258, 0.0053]         "
'γ'                 ,'N/A'                              
'variable (γ)'      ,'N/A'                              
'similar to water'  ,'N/A'                              
'0.007–0.008 N/m'   ,"[0.007, 0.008]                     "
'moderately low'    ,'N/A'                              
'systematically altered' ,'N/A'                        
'varied'            ,'N/A'                              
'variable (γ)'      ,'N/A'                              
lower surface tension of water – oil interface ,N/A    
'Gas-Oil'           ,'N/A'                              
"['2.5 °C', '24.5 °C'] ","['N/A', 'N/A']                    "
'γ'                 ,'N/A'                              
40 mN/m             ,0.04                        
12.88               ,0.01288                     
'lower'             ,'N/A'                              
'11.69'             ,0.01169                     
"['37 mN/m', '35 mN/m'] ","[0.037, 0.035]             "
'36.45 mN/m'        ,0.03645                            
γO-G                ,N/A                                
0.005 N/m           ,0.005                              
'high'              ,'N/A'                              
'γO-G'              ,'N/A'                              
'0.072 N/m'         ,0.072                              
'σ'                 ,'N/A'                              
0.072 N/m           ,0.072                        
σ                    ,N/A                                
0.65 N/m            ,0.65                               
0.65–0.70 N/m       ,0.65–0.70                   
0.7 N/m             ,0.7                         
'σ'                 ,'N/A'                              
'increases'         ,'N/A'                              
'_σ_'               ,'N/A'                              
'low'               ,'N/A'                              
"'130°, 170°'        ",'N/A'                              
'σ'                 ,'N/A'                              
'increases'         ,'N/A'                              
'lower'             ,'N/A'                              
'larger interfacial tension contributes to a larger pressure drop profile' ,'N/A' 
0.048 N/m      ,0.048                              
'1.6-3.6 m N/m'     ,"[0.0016, 0.0036]             "
"['8.96 mN m−1', '13.97 mN m−1'] ","[0.00896, 0.01397] "
'2.3 mN/m'          ,0.0023                      
'2.3 mN/m'          ,0.0023                      
'70 mNm−1'          ,0.07                         
'31.5 mN/m'         ,0.0315                       
'31.5mN/m'          ,0.0315                       
'71 mN/m'           ,0.071                        
'71 mN/m'           ,0.071                        
σ                   ,N/A                          
23.5 N/m            ,23.5                         
'γ'                 ,'N/A'                        
'much smaller than water system without surfactants' ,'N/A' 
γ                  ,N/A                                   
γ                  ,N/A                                   
γ                  ,N/A                                   
"'reduced with 0.5 wt % or more concentration, influence weakened in jetting regime' ",'N/A' 
"'Dynamic, increases as Tween 20 concentration decreases' ",'N/A' 
'very low transient values under jetting' ,'N/A' 
'28.64'             ,0.02864                            
'reduced at 0.5 wt % concentration' ,'N/A' 
'dynamic interfacial tension in the jetting flow regime' ,'N/A' 
'Dynamic'           ,'N/A'                              
"['0.01 wt %', '0.5 wt %', '1 wt %'] ",'N/A' 
'12 mN/m'      ,0.012                              
'8 mN/m'       ,0.008                              
12 mN/m        ,0.012                             
41 mN/m        ,0.041                             
'33 mN/m'           ,0.033                        
'σ'                 ,'N/A'                        
mN m−1              ,0.001                       
γ              ,N/A                                
44.5 mN/m      ,0.0445                             
0.01 N/m        ,0.01                    
σ_g                  ,N/A                         
approximately equal  ,N/A                         
σ                    ,N/A                         
'σ_l'               ,'N/A'                        
'none'              ,'N/A'                        
'low' ,'N/A' 
'reduced due to surfactants Span 80 and Tween 20 at 2.0% mass concentration' ,'N/A' 
'σ' ,'N/A' 
'σ' ,'N/A' 
'σ' ,'N/A' 
'known' ,'N/A' 
'constant' ,'N/A' 
'σ' ,'N/A' 
'σ' ,'N/A' 
"['4.43 ± 0.04 mN·m−1', '2.94 ± 0.10 mN·m−1', '8.20 ± 0.30 mN·m−1', '1.68 ± 0.05 mN·m−1'] ","[0.00443, 0.00294, 0.0082, 0.00168] "
'2.48 ± 0.05 mN·m−1' ,0.00248 
"['1.0 mN·m−1', '8.0 mN·m−1'] ","[0.001, 0.008] "
"['4.43 ± 0.04', '2.94 ± 0.10', '8.20 ± 0.30', '1.68 ± 0.05', '2.48 ± 0.05'] ","[0.00443, 0.00294, 0.0082, 0.00168, 0.00248] "
'reduced due to surfactants Span 80 and Tween 20 at 2.0% mass concentration' ,'N/A' 
'σ'                 ,'N/A'                             
'σ'                 ,'N/A'                             
'constant'          ,'N/A'                             
"['0.03648 N·m−1', '0.03735 N·m−1', '0.03771 N·m−1'] ","[0.03648, 0.03735, 0.03771] "
"'measured by surface tension meter (OCAH200, Data Physics instruments GmbH, Germany)' ",'N/A' 
'low'               ,'N/A'                              
'half of that of Jiang et al. (2017)' ,'N/A' 
'σ'                 ,'N/A'                              
γ        ,N/A       
γ        ,N/A       
'resist deformation','N/A'                              
'γd'                ,'N/A'                              
0.0035 N/m          ,0.0035                             
30.07 mN m−1        ,0.03007                      
γ                   ,N/A                          
'30.07 mN m−1'      ,0.03007                      
'σ'                 ,'N/A'                       
σ        ,N/A       
high     ,N/A       
'40 mN/m'           ,0.04                               
'mentioned but value not provided' ,'N/A'              
30.1 mN/m           ,0.0301                       
'1.6 × 10−6 N'      ,1.6e-06                      
22 to 18 mN/m       ,"[0.022, 0.018]               "
'smaller than H2O/n-hexane' ,'N/A'                    
'balance'           ,'N/A'                              
'σ'                 ,'N/A'                              
'σ'                 ,'N/A'                              
'0.005 N/m'         ,0.005                              
'0.005 N/m'         ,0.005                              
'0.005 N/m'         ,0.005                              
'0.005 N/m'         ,0.005                              
'0.005 N/m'         ,0.005                              
'0.005'             ,0.005                              
'0.005 N/m'         ,0.005                              
'0.005'             ,0.005                              
'0.005'             ,0.005                              
'0.005 N/m'         ,0.005                              
'0.005'             ,0.005                              
'0.005 N/m'         ,0.005                              
'0.005 N/m'         ,0.005                              
'0.005 N/m'         ,0.005                              
'0.005 N/m'         ,0.005                              
'0.005 N/m'         ,0.005                        
'0.005 N/m'         ,0.005                        
'0.005 N/m'         ,0.005                        
γ                   ,N/A                                
"interfacial tension, mN/m ",N/A                        
"'interfacial tension, mN/m' ",'N/A'                    
0.0339 N/m     ,0.0339                            
21.2           ,0.0212                             
'Decreased due to SDS' ,'N/A'                          
'52.1'              ,0.0521                             
zero                ,N/A                                
σ              ,N/A                                
0.01           ,0.01                               
σ              ,N/A                                
σ              ,N/A                                
0.01           ,0.01                               
γ                   ,N/A                                
low                 ,N/A                                
0.005 N/m           ,0.005                              
much lower with FC-43 and silicone oil compared to deionized water and silicone oil ,N/A 
unchanged           ,N/A                                
"['42.22 mN/m', '5.68 mN/m'] ","[0.04222, 0.00568] "
"['lower (FC-43)', 'higher (deionized water)'] ","['N/A', 'N/A'] "
'decreased'         ,'N/A'                              
40 mN/m          ,0.04                                
σ                ,N/A                                 
'40 mN/m'           ,0.04                         
"['4σ', '3σ']        ","['N/A', 'N/A']               "
'dominant force'    ,'N/A'                              
'mentioned'         ,'N/A'                              
['decreases']       ,['N/A']                            
'mentioned'         ,'N/A'                              
"['33.3', '31.5', '31.5'] ","[0.0333, 0.0315, 0.0315] "
"['0.063 N m−1', '0.033 N m−1', '0.033 N m−1'] ","[0.063, 0.033, 0.033] "
'σ'                 ,'N/A'                        
'0.063 N m-1'       ,0.063                        
'σ = 5.6 mN/m'      ,0.0056                       
'various'           ,'N/A'                              
'σ'                 ,'N/A'                              
enables spherical form due to surface tension       ,N/A                          
surface tension of molten glass liquid              ,N/A                          
'18.3 mN/m'         ,0.0183                      
'33.6 mN/m'         ,0.0336                      
18.3 mN/m           ,0.0183                      
68.6 mN/m           ,0.0686                      
interfacial tension ,N/A                                
"['52 kPa', '81 kPa', '190 kPa', '246 kPa'] ","['52000', '81000', '190000', '246000'] "
'larger in Fig. 10b than in Fig. 10a' ,'N/A'          
"['larger than the equilibrium value', 'not fully saturated with surfactant'] ","['N/A', 'N/A'] "
'4 mN m−1'          ,0.004                        
"['SDS', 'Tween-80'] ","['N/A', 'N/A']                     "
"['similar for water and glucose solution', 'lower for ethanol and lowest for kerosene'] ","['N/A', 'N/A'] "
'σ'                 ,'N/A'                              
'σ'                 ,'N/A'                              
'σ'                 ,'N/A'                              
'σ'                 ,'N/A'                              
'low'               ,'N/A'                              
'Changes with interfacial surface' ,'N/A'             
'σ'                 ,'N/A'                             
"[72.82, 22.39, 81.23, 23.38] ","[0.07282, 0.02239, 0.08123, 0.02338] "
'evaluated using Antonov’s rule' ,'N/A'              
'evaluated using Antonov’s rule' ,'N/A'                  
['53 ± 2.7']        ,['0.053 ± 0.0027']           
α              ,N/A                               
'0.025'             ,0.000025                           
σ                   ,N/A                                
'5 × 10−3 N/m' ,0.005                              
"['1', '1', '1', '1', '1', '1/3', '1'] ","[0.001, 0.001, 0.001, 0.001, 0.001, 0.000333, 0.001] "
"['higher for water/hexane system', 'lower for dextran/hexane system'] ","['N/A', 'N/A']                   "
larger in water/hexane compared to dextran/hexane                     ,N/A                               
'nearly close in both cases' ,'N/A'                    
'higher for dextran/hexane system' ,'N/A'              
'lower for dextran/hexane than water/hexane' ,'N/A'    
"['higher for water', 'lower for dextran solution'] ","['N/A', 'N/A'] "
'σ'                 ,'N/A'                        
'0.00537 N m−1'     ,0.00537                      
'0.00537 N m−1'     ,0.00537                      
'0.00537 N/m'       ,0.00537                      
'0.00537 N m−1'     ,0.00537                      
'0.00537 N m−1'     ,0.00537                      
'0.00537 N/m'       ,0.00537                      
'0.00537 N m−1'     ,0.00537                      
'0.00537 N m−1'     ,0.00537                      
'0.00537 N/m'       ,0.00537                      
'0.00537 N m−1'     ,0.00537                      
'0.00537 N m−1'     ,0.00537                      
'0.00537 N m−1'     ,0.00537                      
'0.00537 N m−1'     ,0.00537                      
'0.00537 N m-1'     ,0.00537                      
'0.00537 N/m'       ,0.00537                      
'0.00537 N/m'       ,0.00537                      
'0.00537 N m−1'     ,0.00537                            
'0.00537 N m−1'     ,0.00537                            
'0.00537'           ,0.00537                            
'0.00537 N m^-1'    ,0.00537                            
'0.00537 N m-1'     ,0.00537                            
σ              ,N/A                              
9.5 mN/m ,0.0095 
approximately 9.5 mN/m at saturation limit ,0.0095 
9.5 mN/m            ,0.0095                       
'σ: surface tension (N m–1)'                 ,'N/A'                        
'σ: surface tension (N m–1)'                 ,'N/A'                        
'σA_M'         ,'N/A'                              
"['0.073', '0.056', '0.048'] ","[0.000073, 0.000056, 0.000048] "
4 mN m-1       ,0.004                              
4 mN m-1            ,0.004                        
'σ'                 ,'N/A'                       
'σ'                 ,'N/A'                       
'σ'                 ,'N/A'                              
'σ'                 ,'N/A'                              
'0.072'             ,0.072                              
0.029 N m−1         ,0.029                        
'0.029 N m−1'       ,0.029                        
'alginate properties' ,'N/A'                      
'different surface tension values' ,'N/A'              
'50% lower'         ,'N/A'                              
'low'               ,'N/A'                              
"'15.4%, 50%'        ",'N/A'                              
'low'               ,'N/A'                              
"['122.4 Pa', '1059.2 Pa'] ","['0.001224', '1.0592']     "
'lower'             ,'N/A'                              
lower in 0.5% SDS solution ,N/A                  
'σ' ,'N/A' 
'less than 10 mN/m' ,'< 0.01' 
"['low at tips', 'higher elsewhere'] ","['N/A', 'N/A'] "
'reduced' ,'N/A' 
'low' ,'N/A' 
'low' ,'N/A' 
'very low' ,'N/A' 
"['12.5 mN/m', '9.681 mN/m'] ","['0.0125', '0.009681'] "
'normal' ,'N/A' 
'decreased with surfactant concentration' ,'N/A' 
'very low' ,'N/A' 
'very low' ,'N/A' 
'10^-2 mN/m' ,'0.01' 
'low' ,'N/A' 
"['low at tips', 'higher elsewhere'] ","['N/A', 'N/A'] "
'O(10−2) mN/m'      ,0.01                               
"'Very low, varied slightly at concentrations above 200 ppm' ",'N/A' 
'larger than CTAC solutions' ,'N/A'                    
'low'               ,'N/A'                              
"[39.5, 40.71, 40.83, 40.43] ","[0.0395, 0.04071, 0.04083, 0.04043] "
'0.005 N/m'         ,0.005                        
'5 mN/m'            ,0.005                        
"['4.85 mN/m', '5 mN/m'] ","[0.00485, 0.005]         "
"['7 mN/m', '5 mN/m', '3 mN/m'] ","[0.007, 0.005, 0.003] "
'5 mN/m'            ,0.005                        
'5 mN/m'            ,0.005                        
'0.005 N/m'         ,0.005                              
'reduction'         ,'N/A'                              
"'increases in ordinary T-junction channel, decreases in ribbed channel' ",'N/A' 
'σ'                 ,'N/A'                              
'0.0435 N/m'        ,0.0435                             
'0.043 N/m'         ,0.043                              
'σ'                 ,'N/A'                              
'σ'                 ,'N/A'                              
'σ'                 ,'N/A'                              
'0.043 N/m'         ,0.043                              
'0.043 N/m'         ,0.043                              
'0.043 N/m'         ,0.043                              
'σ'                 ,'N/A'                              
'0.043 N/m'         ,0.043                              
'0.043 N/m'         ,0.043                              
'0.043 N/m'         ,0.043                              
'0.043'             ,0.043                              
'0.043 N/m'         ,0.043                              
'0.043 N/m'         ,0.043                              
'0.043 N/m'         ,0.043                              
'0.043 N/m'         ,0.043                              
'0.043 N/m'         ,0.043                              
'0.043 N/m'         ,0.043                              
'σ'                 ,'N/A'                        
'σ = 0.043 N/m'     ,0.043                        
'0.043 N/m'         ,0.043                        
'0.043 N/m'         ,0.043                        
Refer to Table 1    ,N/A                         
"['46.12 mN·m–1', '47.88 mN·m–1', '49.66 mN·m–1']  ","[0.04612, 0.04788, 0.04966]       "
28.8 × 10−3 N/m     ,0.0288                       
considered          ,N/A                          
'overcame by high flow rate' ,'N/A'                  
"['interface tension with water', 'interface tension with air'] ",N/A                         
Different interfacial tensions       ,N/A                               
σ                                    ,N/A                               
σA                                          ,N/A                               
smaller than that of other liquid phases    ,N/A                               
"['5.1 mN/m for hexane/water-SDS', '34.2 mN/m for air/water-SDS'] ","[0.0051, 0.0342]                    "
34.2 mN/m                                                ,0.0342                             
low                                                      ,N/A                                
'5.1 mN/m'          ,0.0051                      
52 N/m         ,52                                
42 mN/m        ,0.042                             
45 mN/m        ,0.045                             
σ              ,N/A            
σ              ,N/A            
8.9 mN/m      ,0.0089                             
γ             ,N/A                                
40 mN/m       ,0.040                              
increase      ,N/A                                
40 mN/m             ,0.04                         
minimum value    ,N/A                     
8.5 mN/m         ,0.0085                  
'Reduced due to presence of Span 80' ,'N/A'          
'8.5 mN/m'          ,0.0085                             
'21.55'             ,0.02155                            
'γ'                 ,'N/A'                              
'low'               ,'N/A'                              
"['0.006 N/m', '0.0093 N/m'] ","[0.006, 0.0093] "
'low'               ,'N/A'                              
similar to kerosene-water liquid set             ,N/A                          
"['46.2', '45.2', '17']                          ","[0.0462, 0.0452, 0.017]      "
'similar to kerosene-water liquid set' ,'N/A' 
"['24.3', '24.8', '41.9'] ","[0.0243, 0.0248, 0.0419] "
"['42.02', '42.57', '42.93', '43.21'] ","[0.04202, 0.04257, 0.04293, 0.04321] "
'σ'                 ,'N/A'                       
σw/o           ,N/A                                
σw/o           ,N/A                                
σ w/o               ,N/A                                
σw/o                 ,N/A                                
"[38.98, 41.61, 46.12, 47.88, 49.66, 50.89] ","[0.03898, 0.04161, 0.04612, 0.04788, 0.04966, 0.05089] "
same order of magnitude as previous                 ,N/A                               
modulated by the concentration of surfactant        ,N/A                               
decreases with rise in surfactant concentration     ,N/A                               
'γ'                 ,'N/A'                        
'dominant'          ,'N/A'                              
"'σ (calculated, not value given)' ",'N/A'              
γ                   ,N/A                          
constant            ,N/A                          
"['5 mN m−1', '36.5 mN m−1'] ","[0.005, 0.0365]          "
36.5 mN m-1         ,0.0365                       
36.5 mN m−1         ,0.0365                       
increases           ,N/A                          
γ                   ,N/A                          
γ                   ,N/A                          
'γ' ,'N/A' 
'interfacial tension provided but no numeric value' ,'N/A' 
'36.5 mN m-1' ,0.0365 
'36.5 mN m−1' ,0.0365 
'increases with BSA concentration' ,'N/A' 
"['43.8 mN m-1 (5% BSA)', '47.6 mN m-1 (10% BSA)', '51.3 mN m-1 (15% BSA)'] ","[0.0438, 0.0476, 0.0513] "
'constant' ,'N/A' 
'constant' ,'N/A' 
"['51.3 ± 2.8', '47.6 ± 1.7', '43.8 ± 2.3', '47.4 ± 2.3', '47.2 ± 1.8', '46.7 ± 1.7', '45.6 ± 1.2', '44.8 ± 1.5', '43.2 ± 1.4'] ","[0.0513, 0.0476, 0.0438, 0.0474, 0.0472, 0.0467, 0.0456, 0.0448, 0.0432] "
5 mN m−1       ,0.005                              
σ              ,N/A                                
5 mN m−1            ,0.005                        
"[1.89, 3.43] mN m−1      ","[0.00189, 0.00343]                 "
"[2.96, 3.43, 2.4, 1.89] ","[0.00296, 0.00343, 0.0024, 0.00189] "
reduced        ,N/A                                 
σ                                                        ,N/A                          
"['72.10 mN m−1', '69.23 mN m−1']                         ","[0.07210, 0.06923]           "
plays an important role                                  ,N/A                          
"['72.10', '71.43', '70.96', '70.45', '69.82', '69.23']   ","[0.07210, 0.07143, 0.07096, 0.07045, 0.06982, 0.06923] "
'plays an important role' ,'N/A'                      
σ                            ,N/A                           
σ                            ,N/A                           
"['37.73 mN.m^-1', '37.64 mN.m^-1', '37.57 mN.m^-1', '37.43 mN.m^-1'] ","[0.03773, 0.03764, 0.03757, 0.03743] "
'σ'                 ,'N/A'                        
'σw'                ,'N/A'                        
σ              ,N/A                     
σ              ,N/A                     
σ              ,N/A                     
'8.78 mN·m−1'       ,0.00878                           
'σ'                 ,'N/A'                             
'σP'                ,'N/A'                             
'ΔP σ'              ,'N/A'                             
"['9.76', '8.78', '8.78', '8.78'] ","[0.00976, 0.00878, 0.00878, 0.00878] "
'σ = 0.03 N/m'      ,0.03                         
σ        ,N/A       
σ              ,N/A                              
σ = 0.2        ,0.2                                
reduced        ,N/A                               
decreased      ,N/A                               
32 mN/m                                                   ,0.032                              
increase is beneficial for bubble's monodispersity        ,N/A                                
'controlled by surface tension' ,'N/A' 
49.3 mN/m       ,0.0493                             
1.5 mN m−1         ,0.0015                           
1.5 mN m−1         ,0.0015                           
"['46.12', '47.88', '50.89'] ","[0.04612, 0.04788, 0.05089]      "
26.5 mN/m      ,0.0265                           
σ              ,N/A                              
important in squeezing regime   ,N/A                         
"['1.75', '14.1', '36']          ","['0.00175', '0.0141', '0.036']"
"['very low', 'medium', 'high']  ",N/A                         
important in squeezing regime   ,N/A                         
dynamic interfacial tension                                                               ,N/A                          
reduced interfacial tension at droplet pinch-off moment                                   ,N/A                          
γ                                                                                         ,N/A                          
45 mN/m                                                                                   ,0.045                        
"['5.13 mN/m', 'higher than steady-state for CTAB', '8.7 to 22.4 mN/m for Triton X-100']   ","[0.00513, N/A, ['0.0087', '0.0224']]  "
±5%                                                                                       ,N/A                          
45 mN/m                                                                                   ,0.045                        
constant                                        ,N/A                          
"dynamic, changes with Γ/Γeq                     ",N/A                          
<0.1 mN/m       ,0.0001          
high            ,N/A             
high            ,N/A             
oil/water      ,N/A                                
"['0.7', '4', '<0.1'] ","[0.0007, 0.004, '<0.0001']  "
σ                   ,N/A                                
47.5 mN m−1         ,0.0475                             
2.54 mN/m  ,0.00254   
0.114      ,0.000114  
γ          ,N/A       
0.114      ,0.000114  
140°           ,N/A                                 
decreased due to SDS                 ,N/A                               
gas–liquid interfacial tension force ,N/A                               
41.71          ,0.04171                            
higher in chloroform compared to DCM           ,N/A                               
lower at the interface than the center         ,N/A                               
'decreases with concentration' ,'N/A'                  
'Measured via Krüss tensiometer' ,'N/A'                
"['10.8', '10.9', '11', '10.9', '11.2', '11.2'] ","[0.0108, 0.0109, 0.011, 0.0109, 0.0112, 0.0112] "
0.03 N/m       ,0.03                              
0.03 N/m       ,0.03                              
0.03 N/m       ,0.03                              
0.03 N/m       ,0.03                              
0.03           ,0.03                              
0.03           ,0.03                  
'0.4-38 mN/m'       ,'0.0004-0.038'                     
'γ'                 ,'N/A'                              
'0.4 < σ < 38 mN/m' ,'0.0004 < σ < 0.038'               
"'38, 9, 4.5, and 0.4 mN/m' ","'[0.038, 0.009, 0.0045, 0.0004]' "
'lower values'      ,'N/A'                              
"['0.4 mN/m', '38 mN/m'] ","['0.0004', '0.038']              "
γ                                              ,N/A                              
oil−water interface becomes unstable           ,N/A                              
γ = 4.5 mN/m                                   ,0.0045                           
affects merged droplet formation ,N/A                               
16.1 mN/m                     ,0.0161                            
low                           ,N/A                               
σ              ,N/A                               
'σ'                 ,'N/A'                       
'σ'                 ,'N/A'                       
σ              ,N/A                                
increased      ,N/A                                
'3× smaller than that in the flat tip design' ,'N/A' 
'σγ = 2πLγ' ,'N/A' 
'8.5 mN/m' ,0.0085 
"'σ, varies based on electrical conductivity K' ",'N/A' 
'σK = 4/3ρQU'       ,'N/A'                             
σ                 ,N/A                              
3.85 × 10–2       ,0.0385                           
σ              ,N/A                                
"['28 ± 1.3', '28 ± 1.3', '20 ± 0.8', '20 ± 0.8'] ","['0.028 ± 0.0013', '0.028 ± 0.0013', '0.020 ± 0.0008', '0.020 ± 0.0008'] "
'(20–30) ×10−3 N/m' ,"[0.02, 0.03]                 "
'0.07 N/m'          ,0.07                         
'constant'          ,'N/A'                        
'0.072 N/m'         ,0.072                        
'0.07 N/m'          ,0.07                         
present at oil–water interface       ,N/A                                
σ                                    ,N/A                                
4.85 mN/m                            ,0.00485                            
constant                             ,N/A                                
5 mN m^-1                            ,0.005                              
5 mN m-1                             ,0.005                              
constant or varied                   ,N/A                                
'σ'                 ,'N/A'                              
'0.03 N/m'          ,0.03                        
'higher'            ,'N/A'                       
varied              ,N/A                               
σ                   ,N/A                               
4.5 × 10−3          ,0.0045                            
'varied'            ,'N/A'                              
σ                         ,N/A                               
σ                         ,N/A                               
"['1.96 × 10−3', '1.96 × 105'] ","[0.00196, 1.96]                "
σ                         ,N/A                               
σ                   ,N/A                          
'γ'                 ,'N/A'                        
γ              ,N/A                              
static range provided ,N/A 
increases ,N/A 
'overpowered by electric field' ,'N/A'                    
'γ'                 ,'N/A'                              
σ              ,N/A             
exceeds surface tension threshold ,N/A                          
independent         ,N/A                          
0.063 N·m−1         ,63                           
0.05 N/m      ,0.05                               
σ              ,N/A                               
40 mN m−1      ,0.04                              
40 mN/m             ,0.04                         
σ                   ,N/A                          
'σ'                 ,'N/A'                       
'1.5 mN m−1'        ,0.0015                      
'σ'                 ,'N/A'                       
'σ'                 ,'N/A'                       
low dynamic IFTs ,N/A 
dynamic and can decrease to below CMC concentrations ,N/A 
near zero ,N/A 
static IFTs do not effect droplet sizes significantly ,N/A 
equilibrium interfacial tension with 0.05 wt % SDS ,N/A 
dynamic IFTs with varying surfactant concentrations ,N/A 
low at concentrations lower CMC ,N/A 
8.5 mN/m ,0.0085 
extremely low ,N/A 
extremely low ,N/A 
static IFTs do not significantly affect droplet size ,N/A 
low ,N/A 
"['28.64 mN/m', '28.64 mN/m', '28.64 mN/m'] ","[0.02864, 0.02864, 0.02864] "
'Dynamic IFT eliminated at >0.20 wt% for both surfactants' ,'N/A' 
'extremely low' ,'N/A' 
"['28.64 mN/m', '28.64 mN/m', '28.64 mN/m'] ","[0.02864, 0.02864, 0.02864] "
"['8.5 mN m−1', '7.45 mN m−1'] ","[0.0085, 0.00745] "
'γ'                 ,'N/A'                        
'7.45 mN m−1'       ,0.00745                      
8.5 mN m−1       ,0.0085                        
little effect          ,N/A                                
σ                      ,N/A                                
"[23.66, 23.53, 23.55]  ","[0.02366, 0.02353, 0.02355]        "
36.5 mN/m           ,0.0365                            
'36.5 mN/m'         ,0.0365                       
γ              ,N/A                                
low            ,N/A                          
increased amount of surfactant   ,N/A                          
45 nN/m        ,0.000000045                       
γ              ,N/A                                
'γ'                 ,'N/A'                        
dominant in droplet formation     ,N/A                          
dominant in droplet formation ,N/A                
σ              ,N/A                               
σ              ,N/A                               
'0.0365'            ,0.0365                       
determined by the carrier fluid and the dispersed phase        ,N/A                          
determined by the carrier fluid and the dispersed phase  ,N/A                          
0.04244 N/m     ,0.04244                          
σ               ,N/A                              
σ               ,N/A                              
0.04244 N/m     ,0.04244                 
σ               ,N/A                     
σ               ,N/A                     
σ               ,N/A                     
dynamic interfacial tension              ,N/A                             
5 mN/m                                   ,0.005                           
3.2 mN/m                                 ,0.0032                          
σ0                                       ,N/A                             
"['50.8 mN/m', '3.2 mN/m']                ","[0.0508, 0.0032]                "
σ0                                       ,N/A                             
50.8 mN/m      ,0.0508                            
low            ,N/A                               
σ                             ,N/A                         
"['0.001 N/m', '0.1 N/m']      ","[0.001, 0.1]                "
0.005 N/m                     ,0.005                       
0.005 N/m                     ,0.005                       
"droplet length increase when the interfacial tension increase, and the frequency of droplet formation decrease when interfacial tension increase ",N/A 
40 mN/m ,0.04 
σ              ,N/A                               
73.5 dyn/cm     ,0.00735                     
