0.1147 Pa s    ,0.1147                      
"['1.16 mPa s', '6.14 mPa s', '1.83 mPa s', '2.51 mPa s'] ","[0.00116, 0.00614, 0.00183, 0.00251] "
"['1.16 mPa s', '1.83 mPa s', '2.10 mPa s', '2.51 mPa s', '6.14 mPa s'] ","[0.00116, 0.00183, 0.00210, 0.00251, 0.00614] "
"liquid velocity, liquid viscosity ",N/A                          
volume-averaged values ,N/A                          
"[1.0, 2.5]          ","[0.001, 0.0025]              "
lower than droplets ,N/A                          
ηc                  ,N/A                   
High                ,N/A                   
0.53           ,0.00053                    
increases from 0.12 to 0.78 ,0.00045 
increases from 0.01 to 1 ,0.005 
"varies, λ = 1.0–3.83 ",0.02415 
Increases with viscosity ratio from 1 to 3.83 ,0.02415 
0.53 ,0.00053 
2.03 ,0.00203 
given          ,N/A                         
100 mPa s      ,0.1                         
µc             ,N/A                         
λ = 0.01       ,N/A                         
µc ,N/A 
Listed in Table 1 ,N/A 
"['less viscous', 'more viscous', 'increasing internal viscosity'] ","['N/A', 'N/A', 'N/A'] "
fixed               ,N/A                          
1/6                 ,N/A                          
"higher viscous fluid, multiple Reynolds numbers [25, 125] ",N/A 
dominant            ,N/A                          
"['increase', 'increase'] ","['N/A', 'N/A']             "
dominant at the junction ,N/A                      
0.001 kg/m.s   ,0.001                     
0.03 kg/m.s    ,0.03                      
μ              ,N/A                       
high           ,N/A                       
1 cP ,0.001 
μ ,N/A 
10 cP ,0.01 
['different viscosities'] ,'N/A' 
"['20 cP', '1000 cP'] ","[0.02, 1] "
'20 cP' ,0.02 
'20 cP' ,0.02 
'1' ,1 
"['20 cP', '100 cP', '1000 cP'] ","[0.02, 0.1, 1] "
"['20 cP', '1000 cP'] ","[0.02, 1.0] "
'20 cP' ,0.02 
'20 cP' ,0.02 
"['20 cP', '1000 cP'] ","[0.02, 1.0] "
'1 cP' ,0.001 
"['20', '100', '1000'] ","[0.02, 0.1, 1.0] "
μc                  ,N/A                          
fixed               ,N/A                          
"['1.27', '2.64', '5.40', '20.45'] ","[0.00127, 0.00264, 0.0054, 0.02045] "
"['20 mPa·s', '100 mPa·s', '251.76 mPa·s'] ","[0.02, 0.1, 0.25176] "
0.92                ,0.00092                      
higher viscosity    ,N/A                          
μd                  ,N/A                          
"[μd1, μd2]          ","[N/A, N/A]                   "
increases           ,N/A                          
251.76              ,0.25176                      
6.14 mPa·s     ,0.00614                    
μc             ,N/A                        
0.88           ,0.00088                    
μd                  ,N/A                          
251.76              ,0.25176                      
"['33.9 cp', '1.35 cp'] ","[0.0339, 0.00135] "
varies with glycerol concentration ,N/A 
varies with glycerol concentration ,N/A 
aqueous viscosity ,N/A 
1 cP ,0.001 
10 cP               ,0.01                  
'0.00001 Pa.s'      ,0.00001               
'μ_L'               ,'N/A'                 
0.001 Pa.s          ,0.001                 
μ ,N/A 
Dynamic viscosity not specified ,N/A 
η1 ,N/A 
"['0.02 wt%', '0.40 wt%', '1.20 wt%'] ",N/A 
"{'below 0.40 wt%': 'not considerable', 'above 0.40 wt%': 'increased, shear-thinning effect, entanglement increases viscosity'} ",N/A 
dynamic viscosity of the dispersed phase is not provided ,N/A 
shear-dependent ,N/A 
"[{'zero shear viscosity': 'ηo'}, {'infinite shear viscosity': 'η∞'}, {'Carreau-Yasuda model fitting': 'ηγ˙=η∞+ηo-η∞/(1+λCYγ˙an-1)'}] ",N/A 
η2 ,N/A 
increasing with the increase of Na-CMC concentration ,N/A 
"['increases with increasing polymer molecular weight', 'increases with polymer concentration'] ",N/A 
"['0.02 wt%', '0.40 wt%'] ",N/A 
shear-thinning ,N/A 
0.11468 Pa*s        ,0.11468               
1.003x10^-3 Pa*s    ,0.001003              
Multiple values   ,N/A                         
0.68-10.84 mPa s  ,0.00576                     
μc                ,N/A                         
different viscosities ,N/A                 
high                ,N/A                   
350 cSt             ,350                   
more viscous        ,N/A                   
different viscosities ,N/A                 
high                ,N/A                          
more viscous        ,N/A                          
different viscosities ,N/A                      
21.5 mPa·s       ,0.0215                       
1.002 mPa.s      ,0.001002                     
"['1.29 mPa·s', '21.6 mPa·s']        ","[0.00129, 0.0216]         "
'lower viscosity'                   ,'N/A'                     
8.4 × 10−3         ,0.0084                        
0.6 × 10−3     ,0.0006                    
μ_C            ,N/A                       
53.5 mPa.s     ,0.0535                    
μ_D ,N/A 
1 mPa.s ,0.001 
205 mPa s for 0.5 g/L and 460 mPa s for 1 g/L ,"[0.205, 0.46] "
μc                  ,N/A                          
"20–10,000 mPas      ",0.005                        
0.5–1000 mPas       ,0.00075                      
increased           ,N/A                          
high                ,N/A                          
high                ,N/A                          
increasing          ,N/A                          
low and similar to dispersed phase ,N/A          
μc                  ,N/A                          
highly viscous      ,N/A                          
unaffected          ,N/A                          
varies significantly,N/A                          
μc                  ,N/A                          
absolute viscosity value ,N/A                    
large               ,N/A                          
μd                       ,N/A                      
possibly >100 mPas       ,0.1                      
5mPa⋅s                  ,0.005                    
higher                   ,N/A                      
high                     ,N/A                      
increasing               ,N/A                      
high                     ,N/A                      
provided       ,N/A                         
23 times that of water ,N/A                   
increases with cyclohexanone oxime concentration ,N/A                   
μc             ,N/A                            
μc             ,N/A                            
μc             ,N/A                            
μc             ,N/A                            
0.65 mPa.s     ,0.00065                        
μd ,N/A 
μd ,N/A 
μd ,N/A 
1 mPa.s ,0.001 
6.92 mPa·s ,0.00692 
6.92 mPa·s ,0.00692 
0.37 mPa·s ,0.00037 
0.37 mPa·s ,0.00037 
'20 cP'        ,0.02                      
'1 cP'         ,0.001                     
'1 cP'         ,0.001                     
'0.89 mPa·s'   ,0.00089                   
"['1.0 cP', '15.3 cP'] ","[0.001, 0.0153] "
'1 cP' ,0.001 
'10 cP' ,0.01 
'1.2 cP' ,0.0012 
"['20 mPa·s', '50 mPa·s'] ","[0.02, 0.05] "
'10 cP' ,0.01 
liquid viscosity    ,N/A                         
0.92 mPa s          ,0.00092                     
μ                   ,N/A                         
μc                  ,N/A                          
1.3 mPa ∙ s         ,0.0013                       
0.02 mPa ∙ s        ,0.00002               
12×10−3 Pa s        ,0.012                 
"['4.85 mPa s', '485.5 mPa s'] ","[0.00485, 0.4855] "
"['48.5 mPa s', '4.85 mPa s', '192.4 mPa s', '485.5 mPa s'] ","[0.0485, 0.00485, 0.1924, 0.4855] "
μl                  ,N/A                          
μl                  ,N/A                          
higher viscosities  ,N/A                          
"['48.5 mPa s', '4.85 mPa s', '192.4 mPa s', '485.5 mPa s'] ","[0.0485, 0.00485, 0.1924, 0.4855] "
'μ_l' ,'N/A' 
'48.5 mPa s' ,0.0485 
['increasing'] ,['N/A'] 
"various, depending on chitosan concentration ",N/A 
μc ,N/A 
μc ,N/A 
μc ,N/A 
μc ,N/A 
known ,N/A 
μc ,N/A 
μc ,N/A 
different systems ,N/A 
"['0.9 mPa·s', '10 mPa·s'] ","[0.0009, 0.01] "
high                ,N/A                          
μd                  ,N/A                          
μd                  ,N/A                          
μd                  ,N/A                          
high                ,N/A                          
increases with concentration ,N/A                  
"['0.21 Pa·sn', '0.55 Pa·sn', '0.94 Pa·sn'] ","[0.21, 0.55, 0.94] "
"measured by a rheometer (Discovery HR-2, TA Instruments, USA) ",N/A 
higher with higher concentration of CMC solution ,N/A 
decreases with the increase of flow rate of the liquid phase ,N/A 
increases with bubble surface area ,N/A 
μ                   ,N/A                   
μ_c                 ,N/A                   
μc                  ,N/A                   
μc                  ,N/A                   
μc                  ,N/A                   
25.13 mPa·s         ,0.02513               
η_d                 ,N/A                          
μd                  ,N/A                          
μd                  ,N/A                          
μd                  ,N/A                          
0.00124 Pa s        ,0.00124               
μ ,N/A 
492.875 mPa s ,0.492875 
η_out ,N/A 
19.07 mPa s ,0.01907 
μ from Equation [4] ,N/A                   
μc                  ,N/A                   
measured by Ubbelohde viscometer (refer to Table 1) ,N/A 
μc                  ,N/A                   
1.13                ,0.00113               
measured by Ubbelohde viscometer (refer to Table 1) ,N/A 
52.43 mPa·s ,0.05243 
"['52.43 mPa·s', 'lower viscosity', 'higher viscosity'] ","['0.05243', 'N/A', 'N/A'] "
52.43 mPa·s ,0.05243 
52.43 mPa·s ,0.05243 
increases ,N/A 
52.43 mPa·s ,0.05243 
increases ,N/A 
higher ,N/A 
52.43 mPa·s ,0.05243 
mentioned but value not provided ,N/A 
52.43 mPa·s ,0.05243 
changes with the viscosity ratio of the two phases ,N/A 
increasing ,N/A 
52.43 mPa·s ,0.05243 
52.43 mPa·s ,0.05243 
52.43 mPa·s ,0.05243 
mentioned but value not provided ,N/A 
47.2 mPa∙s ,0.0472 
1.01 mPa∙s     ,0.00101                     
high                ,N/A                          
Calculated using Hagen-Poiseuille law ,N/A   
5 to 26 mPa s       ,0.0155                       
Calculated using Hagen-Poiseuille law ,N/A 
0.020 to 0.074 mPa s ,0.000047 
increases with concentration of CO2 in [Emim][BF4] ,N/A 
[Emim][BF4] at _T_ = 308.2–343.2 K and _p_ = 0.1–15 MPa ,N/A 
approximately 23 times that of water ,N/A 
higher              ,N/A                           
high ,N/A 
"['10.16 mPa·s', '54.70 mPa·s', '98.90 mPa·s'] ","[0.01016, 0.0547, 0.0989] "
increases           ,N/A                          
increase            ,N/A                          
"['μc (e)', 'μc (f)'] ",N/A                          
increases           ,N/A                          
More viscous than dispersed phase ,N/A                          
10.16 mPa·s         ,0.01016                      
10.16 mPa·s         ,0.01016                      
increases           ,N/A                          
high                ,N/A                          
0.95 mPa·s          ,0.00095                      
"['μd (g)', 'μd (h)']",N/A                          
little influenced   ,N/A                          
Less viscous than continuous phase ,N/A          
average viscosity in rear cavity ,N/A            
0.95 mPa·s          ,0.00095                      
0.95 mPa·s          ,0.00095                      
"['10 cSt', '50 cSt'] ","[0.001, 0.005] "
"['50 cSt', '10 cSt'] ","[0.005, 0.001] "
'increased' ,'N/A' 
50 cSt              ,0.05                  
μ1                  ,N/A                          
μβu                 ,N/A                          
μc                  ,N/A                          
1.95 × 10−3 Pa.s    ,0.00195                      
1.95 mPa s          ,0.00195                      
'μ2'                ,'N/A'                        
'μd'                ,'N/A'                        
'6.71 × 10−3 Pa.s'  ,0.00671                      
'Viscosity ratio λ = 3.44' ,'N/A'                
'μd'                ,'N/A'                        
"['low viscosity fluid', 'high viscosity ratio fluid'] ","['N/A', 'N/A'] "
"['low', 'high']     ","['N/A', 'N/A']               "
'6.71 mPa s'        ,0.00671                      
μ                   ,N/A                   
25.13 mPa•s         ,0.02513               
25.13 mPa•s         ,0.02513               
"Low viscosity, High viscosity ",N/A                  
"['low(0.04-0.19)', 'high(0.47-1.41)'] ","[0.115, 0.94] "
increases           ,N/A                          
"['0.04', '1.41']    ","[0.04, 1.41]                 "
"['0.04-0.19', '0.47'] ","[0.115, 0.47]              "
less viscous        ,N/A                          
viscous             ,N/A                   
10^-3 mPa s         ,1e-06                 
0.028 Pa s     ,0.028                         
0.028 Pa s     ,0.028                         
10^-3 Pa s ,0.001 
μ                       ,N/A              
70 mPa s       ,0.07                          
70             ,70                            
2.7            ,0.0027                     
0.06 Pa.s      ,0.06                      
shear-thinning ,N/A                       
mentioned in table 1,N/A                          
shear-thinning      ,N/A                          
shear-thinning      ,N/A                          
μc ,N/A 
μc ,N/A 
μc ,N/A 
"['1', '10'] ","[0.001, 0.01] "
μd ,N/A 
μd ,N/A 
μc                  ,N/A                          
very low            ,N/A                          
"['10 cSt', '20 cSt', '100 cSt'] ","[0.001, 0.002, 0.01] "
1 cP                ,0.001                        
increasing          ,N/A                          
various             ,N/A                          
100 cSt             ,0.01                         
different           ,N/A                          
10 cP               ,0.01                         
"{'lambda': ['1/20', '1/3.6']} ",N/A              
high                ,N/A                          
"['20 cSt', '100 cSt'] ","[N/A, N/A]                 "
1.2 mPa.s           ,0.0012                
μL                  ,N/A                   
"['influence droplet volume when in same order of magnitude as continuous phase', 'Droplet size independent if at least 50 times smaller than continuous phase'] ","[N/A, N/A] "
20 mPa.s            ,0.02                         
mentioned     ,N/A                         
['increases'] ,['N/A']                     
"high viscosity, 20 cs ",0.02                       
60 cs               ,0.06                         
mentioned           ,N/A                          
"['20 cs', '60 cs']  ","[0.02, 0.06]                 "
increases           ,N/A                          
['different viscosities'] ,N/A                  
['increases']       ,N/A                          
20 cs               ,0.02                         
high-viscosity fluids ,N/A                        
"changing the dispersed phase viscosity affects the flow pattern transition processes of annular flow to slug flow and slug flow to droplet flow, but has little effect on slug properties and droplet length ",N/A 
xμg+(1−x)μl         ,N/A                          
"['1 mPa·s', '2.32 mPa·s', '6.53 mPa·s'] ","[0.001, 0.00232, 0.00653] "
'0.017 cP' ,0.000017 
'2.32 mPa·s' ,0.00232 
'increases the droplet velocity' ,'N/A' 
'increase of liquid viscosity' ,'N/A' 
'increases' ,'N/A' 
"['1', '2.32', '6.53'] ","[1, 2.32, 6.53] "
2.32 mPa·s          ,0.00232                      
decreases the droplet velocity ,N/A              
more obvious effect under constant-pressure ,N/A  
0.89 to 1.61 cp      ,0.00125               
"['780 mPa s', '780 mPa s', '100 mPa s'] ","[0.78, 0.78, 0.1] "
'μc' ,'N/A' 
'0.65 cp' ,0.00065 
'μ_c = 1 mPa.s' ,0.001 
various             ,N/A                          
extremely low       ,N/A                          
μ_d = 10 mPa.s      ,0.01                         
1 cP                ,0.001                        
μd                  ,N/A                          
decreases low enough to become spherical form at high temperatures ,N/A                   
remains unchanged in initial 50 min                        ,N/A                   
unchanged                                                  ,N/A                   
0.001          ,0.001                       
866 mPa*s      ,0.866                       
"dynamic viscosity, Pa s ",N/A 
much lower than continuous phase ,N/A 
0.894 mPa*s ,0.000894 
viscosity of the continuous phase ,N/A 
"Variable, can be adjusted through dilution ",N/A 
1.5 to 100 mPa s ,0.0505 
μ_l ,N/A 
10.8 mPa s ,0.0108 
"['1.15 mPa s', '60 mPa s'] ","[0.00115, 0.06] "
10.8 mPa s ,0.0108 
"['1.8 mPa s', '60 mPa s'] ","[0.0018, 0.06] "
"['1.76 mPgmin', '10.8 mPgmin', '22.5 mPgmin', '60 mPgmin'] ",N/A 
['increases'] ,N/A 
"['15.2 mPa s', '60 mPa s'] ","[0.0152, 0.06] "
"['15.2 mPa s', '60 mPa s'] ","[0.0152, 0.06] "
three different liquid viscosities ,N/A 
three different viscosities ,N/A 
increasing ,N/A 
μ_g ,N/A 
"['4.85 mPa s', '48.5 mPa s'] ","[0.00485, 0.0485] "
μa ,N/A 
μc ,N/A 
μl             ,N/A                           
μd             ,N/A                           
'1.2 mPa s' ,0.0012 
"['higher for glucose solution and kerosene', 'similar for water and ethanol'] ","['N/A', 'N/A'] "
μ                   ,N/A                          
μ                   ,N/A                          
μl                  ,N/A                          
high                ,N/A                          
"[1.01, 1.2, 2.65, 2.5] ","[0.00101, 0.0012, 0.00265, 0.0025] "
various sets        ,N/A                   
negligible impact   ,N/A                   
0.0176         ,0.0000176                   
['1.6 ± 0.25']      ,[0.0016]              
μ ,N/A 
1.79×10-5 ,1.79e-8 
1.17×10-3           ,1.17E-06              
μ              ,N/A                         
μ1             ,N/A                         
μc             ,N/A                         
"['0.29', '0.29', '0.29', '10', '0.29', '0.29', '0.29'] ","['0.00029', '0.00029', '0.00029', '0.01', '0.00029', '0.00029', '0.00029'] "
'μ2'          ,'N/A'        
'μd'          ,'N/A'        
"'benchmark values, μr = 10' ",0.01       
'Smaller droplets form with an increase in viscosity ratio' ,'N/A'  
μc                  ,N/A                          
μd ,N/A 
"['8-70 mPa.s', '6-100 mPa.s'] ","[0.000039, 0.000053] "
different viscosities ,N/A 
"['different in case 1', 'different in case 2'] ",N/A 
increasing ,N/A 
"['high viscosity in dextran 30 wt% solution', 'lower viscosity in water/hexane'] ",N/A 
"['high', 'higher'] ",N/A 
"['higher for dextran solution', 'lower for water'] ",N/A 
μ_c ,N/A 
μ_d ,N/A 
μ1             ,N/A                         
μ2 ,N/A 
μc ,N/A 
μd                  ,N/A                          
"['varies with temperature and time', 'increases with temperature', 'sudden rise at 40 ℃'] ","[N/A, N/A, N/A] "
['Variation with temperature'] ,[N/A] 
μ_silicone oil      ,N/A                          
49.2 mPa·s     ,0.0492                    
0.89 mPa·s ,0.00089 
high           ,N/A                       
66.4 mPa⋅s     ,0.0664                    
High           ,N/A                       
high           ,N/A                       
high           ,N/A                       
0.1 and 800 s−1     ,0.0001 and 0.8        
"['34.5 cSt', '2.93 cSt'] ","[0.0345, 0.00293] "
"['higher with MO', 'lower with Hex'] ","['N/A', 'N/A'] "
high ,N/A 
high compared to gas,N/A                   
very low ,N/A 
μL: liquid viscosity (kg m–1 s–1) ,N/A 
μL: liquid viscosity (kg m–1 s–1) ,N/A 
2.10 × 10–5 ,2.10e-5 
"['9.78 × 10–4', '3.17 × 10–3', '1.71 × 10–2'] ","[0.000978, 0.00317, 0.0171] "
'1.2 mPa s' ,0.0012 
μ_L            ,N/A                       
0.000018       ,0.000018                  
μ ,N/A 
0.0012 ,0.0000012 
5 cSt               ,0.005                        
low                 ,N/A                          
related to pressure drop and Darcy friction factor ,N/A 
low                 ,N/A                          
"['larger than DI water', 'lower'] ",N/A 
increased viscous shearing rate due to accelerating continuous fluid ,N/A 
expressed in terms of αc ,N/A 
"['0.005 Pa s', '0.05 Pa s'] ","[0.005, 0.05] "
0.1 ,0.0001 
"['50 times of the corresponding feature of water', '0.2 times of the corresponding feature of water'] ",N/A 
expressed in terms of αd ,N/A 
0.001 Pa s ,0.001 
0.1 ,0.1 
0.02-0.2 ,0.11 
higher than water   ,N/A                   
higher than water ,N/A 
increased ,N/A 
"['0.89 mPa s', '9.90 ± 0.08 mPa s'] ","[0.00089, 0.0099] "
physicochemical properties of alginate ,N/A 
different viscosities ,N/A 
"['54.4 mPa s', '163 mPa s'] ","[0.0544, 0.163] "
lower ,N/A 
increases ,N/A 
"['5.7 mPa s', '54.4 mPa s', '163.0 mPa s'] ","[0.0057, 0.0544, 0.163] "
"['5 mPa s', '160 mPa s'] ","[0.005, 0.16] "
"['5.7 mPa s', '163 mPa s'] ","[0.0057, 0.163] "
"['200 mPa s', '1400 mPa s'] ","[0.2, 1.4] "
"['54.4 mPa s', '163 mPa s'] ","[0.0544, 0.163] "
"['54.4 mPa s', '163 mPa s'] ","[0.0544, 0.163] "
viscous liquids around 70 mPa s ,0.07 
inviscid ,N/A 
µc                  ,N/A                          
viscoelastic        ,N/A                          
"['μ from concentric cylinder measurement', 'μ from cone-and-disk measurement'] ","[N/A, N/A] "
larger              ,N/A                          
increased with surfactant concentration ,N/A   
within the same range as CTAC/NaSal solution ,N/A 
"['zero-shear viscosity', 'low-shear viscosity for 1,000 ppm CTAC/NaSal'] ","['N/A', 'N/A'] "
extensional viscosity is much larger than shear viscosity ,N/A 
dependent on flow rate ratio and viscoelasticity ,N/A 
insufficient for droplet production ,N/A 
low viscoelastic fluids ,N/A                      
3.35-4.56 mPa·s     ,0.003955                     
low-viscosity Boger fluids ,N/A                  
high                ,N/A                          
"viscoelastic fluids, Newtonian fluids ",N/A        
"[3.7, 3.7, 3.07, 2.08] ","[0.0037, 0.0037, 0.00307, 0.00208] "
increasing molecular weight of PEO ,N/A 
varied              ,N/A                          
increases           ,N/A                          
high                ,N/A                          
varied         ,N/A                        
0.5            ,0.0005                     
low            ,N/A                        
higher viscosity compared to water ,N/A 
μ ,N/A 
μ1 ,N/A 
μc ,N/A 
0.009 Pa s ,0.009 
μc ,N/A 
μc ,N/A 
μc ,N/A 
μc ,N/A 
greater than dispersed phase ,N/A 
μc ,N/A 
higher than continuous phase         ,N/A                       
μ                                    ,N/A                       
μ2                                   ,N/A                       
μd                                   ,N/A                       
0.001 Pa.s                           ,0.001                     
"['μ_d1', 'μ_d2'] ",'N/A'                     
high                ,N/A                           
Refer to Table 1    ,N/A                           
increased            ,N/A                           
increased with the increase of the liquid viscosity ,N/A 
multiple             ,N/A                           
240.5 mPa·s         ,0.2405                        
low                  ,N/A                           
8.9 mPa·s                                              ,0.0089          
decreased as the liquid viscosity increased            ,N/A             
increased with the increase of liquid viscosity        ,N/A             
