"['1.70×10−3', '1.1 · 10−4']    ","['0.0017', '0.00011']    "
Capillary number (Ca = uμ / σ) ,N/A 
['0.01 to 0.11'] ,[0.06] 
"['0.24', '0.97', '0.26'] ","[0.24, 0.97, 0.26] "
0.0143              ,0.0143                      
high                ,N/A                         
"['https://aiche.onlinelibrary.wiley.com/cms/asset/95bc8177-e213-472b-ad3f-449abdde5d76/aic15043-math-0015.png', 'https://aiche.onlinelibrary.wiley.com/cms/asset/b6e10619-f75b-4f0d-8cde-044e5cfdf5a1/aic15043-math-0016.png'] ","['N/A', 'N/A'] "
'0.002 to 0.06' ,0.031 
'low/high' ,'N/A' 
'increases' ,'N/A' 
"['0.002', '0.005', '0.004', '0.007'] ","[0.002, 0.005, 0.004, 0.007] "
"['0.010', '0.020', '0.030', '0.061', '0.019', '0.036', '0.041', '0.051'] ","[0.010, 0.020, 0.030, 0.061, 0.019, 0.036, 0.041, 0.051] "
'critical' ,'N/A' 
'0.01' ,0.01 
small               ,N/A                        
characterized by capillary number ,N/A 
decreasing capillary number enhances coalescence ,N/A 
Ca ,N/A 
small ,N/A 
"['0.0036', '0.047'] ","['0.0036', '0.047'] "
0.05 to 0.064 ,0.057 
"low, moderate, large ",N/A 
decreases sharply   ,N/A                        
'Ca' ,'N/A' 
"'low _Ca_, above ~0.01, further increase in _Ca_' ",0.01 
'low' ,'N/A' 
'0.0018' ,0.0018 
'0.0018' ,0.0018 
'0.0018' ,0.0018 
"['0.002', '0.003']         ","[0.002, 0.003]    "
'10−2' ,0.01 
'Ca = µcU/σ' ,'N/A' 
"'Cac ≈ 0.02, Cac = 0.022, Cac ≈ 0.05 to 0.064' ","[0.02, 0.022, 0.057] "
Ca ≡ µcU/σ         ,N/A                        
"list [smaller than 0.02, larger than 0.02] ","[0.01, 0.02] "
"['higher', 'lower', 'lowest'] ",N/A 
"['small', 'large']  ",N/A                         
<10^-5              ,0.000005                    
small               ,N/A                         
low                 ,N/A                        
<10^-5              ,0.000005                   
'Ca'                ,'N/A'                      
"['3.9 × 10−5', '1.9 × 10−4'] ","[0.000039, 0.00019] "
'3.9 × 10−5–1.2 × 10−3' ,0.000615 
'> 0.05'            ,0.05                       
"['3.9 × 10−5', '1.9 × 10−4'] ","[0.000039, 0.00019] "
"['7.7 × 10−4', '4.3 × 10−3'] ","[0.00077, 0.0043] "
"['4.6 × 10−3', '2.6 × 10−2'] ","[0.0046, 0.026] "
"['0.01', '0.02'] ","[0.01, 0.02] "
'0.005' ,0.005 
'Ca =μvc/γ' ,'N/A' 
"['0.002', '0.1'] ","[0.002, 0.1] "
['different viscosities of silicone oil'] ,['N/A'] 
'≤ 0.1' ,0.05 
'≤ 0.1' ,0.05 
'≤0.1' ,0.05 
"['0.002', '0.01', '0.1'] ","[0.002, 0.01, 0.1] "
≤ 0.1               ,0.05                        
0.48 ,0.48 
0.11 η −0.07 l s−2.23 l d0.16 ,N/A 
capillary number affects drainage rate and droplet coalescence; relation with viscosity ratio can be expressed by a power-law equation ,N/A 
critical capillary number ,N/A 
0.05                ,0.05                       
high                ,N/A                        
increase            ,N/A                        
reported            ,N/A                        
1                   ,1                          
provided            ,N/A                        
increase            ,N/A                        
high (approx. 0.01) ,0.01                       
low and medium      ,N/A                        
Ca                  ,N/A                        
0.01                ,0.01                       
_Ca_ W              ,N/A                        
"'low, moderate, high' ",'N/A' 
'μ_L U_S_L / σ' ,'N/A' 
'10− 3 to 10− 2' ,0.0005 
'several' ,'N/A' 
"['1.5 ⋅ 10− 3', '11.8 ⋅ 10− 3'] ","[0.0015, 0.0118] "
"['13.3 ⋅ 10−3', '8.8 ⋅ 10−3'] ","[0.0133, 0.0088] "
"['7.4 ⋅ 10− 3', '8.8 ⋅ 10− 3', '10.3 ⋅ 10− 3'] ","[0.0074, 0.0088, 0.0103] "
"['11.8 ⋅ 10− 3', '20.6 ⋅ 10− 3'] ","[0.0118, 0.0206] "
'≤ 0.0074' ,0.0037 
'several' ,'N/A' 
['Increases bubble generation frequency'] ,'N/A' 
'increases' ,'N/A' 
"['4.4 ⋅ 10−3', '5.9 ⋅ 10−3'] ","[0.0044, 0.0059] "
"['4.4 - 5.9 ⋅ 10− 3', '2 ⋅ 10^{-3}', '3 ⋅ 10^{-3}', '5.8 ⋅ 10^{-3}', '1.5 ⋅ 10^{-2}', '7 ⋅ 10^{-2}'] ","[0.00515, 0.002, 0.003, 0.0058, 0.015, 0.07] "
'2.9 ⋅ 10−3' ,0.0029 
'7.4 ⋅ 10− 3' ,0.0074 
'0.0029' ,0.0029 
'7.4 ⋅ 10−3' ,0.0074 
'7.4 ⋅ 10− 3' ,0.0074 
'5.9 ⋅ 10−3' ,0.0059 
"['11.8 * 10^-3 (TJ-A)', '7.4 * 10^-3 (TJ-B)'] ","[0.0118, 0.0074] "
['increased'] ,'N/A' 
several             ,N/A                         
10.3 ⋅ 10− 3       ,0.0103                      
7.4 ⋅ 10− 3        ,0.0074                      
increases           ,N/A                         
Ca                  ,N/A                        
>0.001              ,0.001                      
0.001               ,0.001                      
increases           ,N/A                         
increases           ,N/A                        
Multiple values     ,N/A                         
10^-4 to 0.3        ,0.15005                     
"['0.01', '0.3']     ","[0.01, 0.3]                 "
Cac                 ,N/A                         
0.01 to 0.75        ,0.38                        
10^-4 < Ca_c < 0.002,0.00105                     
0.002 < Ca_c < 0.01 ,0.006                       
Cac                 ,N/A                         
'based on average velocity (uc)' ,'N/A' 
< 0.01              ,0.005                      
'2 × 10−4 < CaC < 1 × 10−1' ,0.0502 
'10−3 < Cac < 10−2' ,0.0055 
'Cac' ,'N/A' 
"['2 × 10−4', '1 × 10−1'] ","[0.0002, 0.1] "
'3 × 10−5 < Cad < 6 × 10−4' ,0.000335 
'Cad' ,'N/A' 
"['3 × 10−5', '6 × 10−4'] ","[0.00003, 0.0006] "
0.007               ,0.007                       
'0.0017' ,0.0017 
'0.0017' ,0.0017 
'0.00362' ,0.00362 
'0.0031' ,0.0031 
'0.0035' ,0.0035 
'0.0035' ,0.0035 
'0.0015' ,0.0015 
'small Ca number' ,'N/A' 
Ca                  ,N/A                        
μ_C Q_C / σ A      ,N/A                         
0.1 < Ca < 0.3      ,0.2                         
'0.016'             ,0.016                       
'Ca=uμc/γ' ,'N/A' 
'10^-3 to 1' ,0.5005 
'shifted distribution region with critical Ca turning to 0.1' ,0.1 
'_C_ a' ,'N/A' 
"'larger, critical' ",'N/A' 
'C_a' ,'N/A' 
'_C_ a' ,'N/A' 
"'varies, can be ten times higher based on viscosity' ",'N/A' 
'_C_ a' ,'N/A' 
'not enough alone to correlate droplet size in dripping' ,'N/A' 
0.001~0.005         ,0.003                      
'>0.1' ,0.1 
'μcUcγ' ,'N/A' 
'0.0134' ,0.0134 
'0.0134' ,0.0134 
'0.0134' ,0.0134 
'0.0134' ,0.0134 
'0.0134' ,0.0134 
'0.0268' ,0.0268 
'0.0268' ,0.0268 
'0.0268' ,0.0268 
'0.0268' ,0.0268 
'0.0268' ,0.0268 
'0.0039' ,0.0039 
'0.0039' ,0.0039 
'0.0268' ,0.0268 
"['0.0351', '0.0351'] ","[0.0351, 0.0351] "
'0.0351' ,0.0351 
'0.0351' ,0.0351 
'0.0351' ,0.0351 
"['0.0039', '0.0156'] ","[0.0039, 0.0156] "
"['0.000974', '0.0156'] ","[0.000974, 0.0156] "
"['0.0039', '0.0156'] ","[0.0039, 0.0156] "
'0.0268' ,0.0268 
'0.0268' ,0.0268 
'0.0039' ,0.0039 
"['0.01', '0.02'] ","[0.01, 0.02] "
'O(10–2)< Ca <O(1)' ,0.1 
'0.01' ,0.01 
"['0.01', '0.02', '0.03'] ","[0.01, 0.02, 0.03] "
"['0.001', '0.002'] ","[0.001, 0.002] "
'Ca <O(10–2)' ,0.005 
capillary number should be larger than a critical value ,N/A 
0.0004 to 0.006 ,0.0032 
0.0017 ,0.0017 
0.0017 ,0.0017 
0.0017 ,0.0017 
703 Ca 1.17( l 0/ w c)1.06 ,N/A 
0.0004< Ca <0.006 ,0.0032 
uμ/σ ,N/A 
Ca ,N/A 
1.88 Ca 0.22( l 0/ w c)0.45 ,N/A                    
Ca                  ,N/A                        
Ca=μcγAQc+Qd        ,N/A                        
Ca                  ,N/A                        
['Ca_c']            ,['N/A']                   
0.001–0.012         ,0.0065                     
"['5.8–48.7', '1.5–12.2'] ","[27.25, 6.85]           "
'0.025' ,0.025 
"'governed by the capillary number, _Ca_' ",'N/A' 
'0.025' ,0.025 
'0.025' ,0.025 
'0.00232' ,0.00232 
'0.025' ,0.025 
'0.025' ,0.025 
'0.025' ,0.025 
'0.025' ,0.025 
'0.025' ,0.025 
'0.025' ,0.025 
'0.025' ,0.025 
'0.025' ,0.025 
"['0.025', '0.04'] ","[0.025, 0.04] "
"['0.025', '0.04'] ","[0.025, 0.04] "
"['0.025', '0.04'] ","[0.025, 0.04] "
"['0.025', '0.04'] ","[0.025, 0.04] "
"['0.025', '0.04'] ","[0.025, 0.04] "
"['0.025', '0.04'] ","[0.025, 0.04] "
"['0.025', '0.04'] ","[0.025, 0.04] "
'0.025' ,0.025 
'0.025' ,0.025 
'0.025' ,0.025 
"['0.025', '0.04'] ","[0.025, 0.04] "
≤0.01               ,0.005                      
0.025               ,0.025                      
"['14.05', '0.634'] ","[14.05, 0.634] "
0.01 to 0.7         ,0.355                      
Cac=uc×μcσ          ,N/A                        
0.01 ≤ Ca ≤ 0.70    ,0.355                      
"['0.007–0.05', '0.005–0.03', '0.05–0.289', '0.01–0.7'] ","['0.0285', '0.0175', '0.1695', '0.355'] "
Ca'                 ,N/A                        
Ca'                 ,N/A                        
Ca                  ,N/A                        
Ca                  ,N/A                        
mCa                 ,N/A                        
"['0.074', '2.4']    ","[0.074, 2.4]               "
Ca                  ,N/A                        
Ca                  ,N/A                        
Ca                  ,N/A                        
"['2.47 × 10−5', '9.87 × 10−5'] ","[0.0000247, 0.0000987] "
>0.015 for dripping ,0.015                      
<0.015              ,0.0075                     
0.01                ,0.01                       
0.01                ,0.01                       
higher Ca           ,N/A                        
<0.015 for squeezing,0.0075                      
'Ca_out = 4η_outQ_out/(γπD2out)' ,'N/A' 
'Ca_out' ,'N/A' 
['increases with increase in capillary number for all the branch channels except for the 0° branch channel'] ,'N/A' 
'increases' ,'N/A' 
"['0.26', '0.30'] ","['0.26', '0.30'] "
increases with increase in capillary number for all the branch channels except for the 0° branch channel ,N/A 
capillary number = 0.26 ,0.26 
capillary number = 0.30 ,0.30 
critical point reached ,N/A 
0.26 ,0.26 
0.30 ,0.30 
μu / σ ,N/A 
Ca ,N/A 
varied ,N/A 
"['0.67', '0.77'] ","[0.67, 0.77] "
varies ,N/A 
0.11 ± 0.01 ,0.11 
mentioned but value not provided ,N/A 
Ca ,N/A 
mentioned but value not provided ,N/A 
0.005               ,0.005                      
0.0026–0.031        ,0.0168                     
increases with flow rate ,N/A                  
0.0079              ,0.0079                     
'> 0.05' ,'0.05' 
'Ca' ,'N/A' 
'< 0.05' ,'0.025' 
'0.02' ,0.02 
'> 0.05' ,0.05 
>0.085              ,0.085                      
-0.18               ,-0.18                      
0.0002              ,0.0002                     
Ca=Ucμcσ            ,N/A                        
increases with capillary number ,N/A 
increases ,N/A 
'Ca' ,'N/A' 
'Ca_i = μQ_i / (Sγ) where S = w_c * w_h' ,'N/A' 
'Ca3' ,'N/A' 
"['Ca3', 'α3Ca3'] ","['N/A', 'N/A'] "
'Ca3' ,'N/A' 
"['Ca3', 'α3Ca3'] ","['N/A', 'N/A'] "
'increases' ,'N/A' 
'Ca 3' ,'N/A' 
"['0.055', '0.066'] ","['0.055', '0.066'] "
['Ca 3'] ,['N/A'] 
"['0.055', '0.066'] ","['0.055', '0.066'] "
'0.03 ≤ Ca 3 ≤ 0.08' ,'0.055' 
"['0.059', '0.050-0.056'] ","['0.059', '0.053'] "
'Ca3' ,'N/A' 
'Ca3' ,'N/A' 
'0.006' ,0.006 
"['8e-4', 0.3] ","[0.0008, 0.3] "
"['0.013', '0.007', '0.021', '0.097'] ","[0.013, 0.007, 0.021, 0.097] "
'0.1' ,0.1 
"['0.007', '0.012'] ","[0.007, 0.012] "
'0.0026' ,0.0026 
'0.007' ,0.007 
"['0.0044', '0.034', '0.0045', '0.035', '0.0073', '0.0075'] ","[0.0044, 0.034, 0.0045, 0.035, 0.0073, 0.0075] "
'increasing' ,'N/A' 
'<1' ,0.5 
'Ca_{\rm{r}}' ,'N/A' 
"['Ca_r', '_Ca_'] ","['N/A', 'N/A'] "
<1                  ,0.5                        
"< 10−2, > 10−2     ","[0.005, 0.01]              "
"['0.0012', '0.0013', '0.0029', '0.0034', '0.0041', '0.0055', '0.0010', '0.0011', '0.0016', '0.0024', '0.0035', '0.0047'] ","[0.0012, 0.0013, 0.0029, 0.0034, 0.0041, 0.0055, 0.0010, 0.0011, 0.0016, 0.0024, 0.0035, 0.0047] "
'range from 0.00102 to 0.00368' ,0.00235 
'Ca (oil)'          ,'N/A'                       
'Ca_aq'             ,'N/A'                       
'0 < Ca < 0.08'     ,0.04                        
'0.08'              ,0.08                        
"'0.004, 0.005, 0.006' ","[0.004, 0.005, 0.006]    "
'moderate to high'  ,'N/A'                       
'0 < Ca < 0.08'     ,0.04                        
'0.08'              ,0.08                        
'moderate to high'  ,'N/A'                       
Ca (aqueous)        ,N/A                        
Ca_oil              ,N/A                        
0 < Ca < 0.004      ,0.002                      
"['0.002', '0.004']  ","[0.002, 0.004]             "
low to moderate     ,N/A                        
0 < Ca < 0.004      ,0.002                      
0.002 to 0.004      ,0.003                      
low to moderate     ,N/A                        
0.05 to 0.22        ,0.135                       
0.2                 ,0.2                         
'0.126'             ,0.126                      
Ca                  ,N/A                         
Ca                  ,N/A                         
0.0028              ,0.0028                      
0.0028              ,0.0028                      
0.001               ,0.001                       
0.001               ,0.001                       
"['0.0028', '0.001', '0.006'] ","['0.0028', '0.001', '0.006'] "
0.0028              ,0.0028                      
0.006               ,0.006                       
Ca                  ,N/A                         
Ca = 0.001          ,0.001                       
0.001               ,0.001                       
0.001               ,0.001                       
0.001               ,0.001                       
0.001               ,0.001                       
low                 ,N/A                         
Ca = 0.001          ,0.001                      
Ca                  ,N/A                         
constant            ,N/A                         
wide range           ,N/A                         
higher              ,N/A                         
0.001               ,0.001                       
range 0.001–0.4    ,0.2005                      
constant            ,N/A                         
constant            ,N/A                         
0.023               ,0.023                       
0.023               ,0.023                       
same                ,N/A                         
<0.01–0.015         ,0.0125                      
constant            ,N/A                         
Ca > 1              ,1                           
critical approximately 0.015 defines transition ,0.015 
0.45 ,0.45 
constant ,N/A 
Ca<0.01             ,0.005                       
≤ 0.001             ,0.0005                      
0.5                 ,0.5                         
Ca                  ,N/A                         
⩽ 10−3              ,0.0005                      
'mentioned' ,'N/A' 
"'> 0.015 for droplets, < 0.01 for slugs, between 0.01 and 0.015 for transition' ","[0.015, 0.005, 0.0125] "
'varies; higher values lead to shorter droplet length in slug flow' ,'N/A' 
'controlled by the flow rate ratio of the two phases and the continuous phase capillary number' ,'N/A' 
mentioned           ,N/A                        
'< 10−3' ,0.0005 
"'0.008–0.002, 0.00013–0.002, 0.00032–0.002' ","[0.005, 0.001065, 0.00116] "
"['0.0001', '0.03'] ","[0.0001, 0.03] "
'constant' ,'N/A' 
'constant' ,'N/A' 
'0.0001 to 0.03' ,0.01505 
'Ca B' ,'N/A' 
'_Ca_' ,'N/A' 
'mentioned with values 0.35 and -0.0076' ,"[0.35, -0.0076] "
'Ca' ,'N/A' 
'0.0001 to 0.03' ,0.01505 
capillary number larger in constant-pressure injection than in constant-volumetric-flow-rate injection ,N/A 
Ca l ,N/A 
mentioned ,N/A 
'0.33' ,0.33 
10−2 ≦ Ca ≦ 10−1               ,0.05                        
"0.01, 0.05                     ","[0.01, 0.05]                "
Ca_c = 0.0032                  ,0.0032                      
0.01-0.1                       ,0.055                       
< 0.1                          ,0.05                        
< 0.1                          ,0.05                        
0.01 ≦ Ca ≦ 0.1               ,0.055                       
'0.05'              ,0.05                        
'Ca_d = 0.01'       ,0.01                        
"['0.06', '0.3'] ","[0.06, 0.3] "
'Ca > 0.1' ,0.1 
"['0.027 < Ca < 0.06', 'Ca > 0.08', 'Ca < 0.027'] ","[0.0435, 0.08, 0.0135] "
'Cac' ,'N/A' 
'Cac' ,'N/A' 
'Cabulk = μcUbulk/σi' ,'N/A' 
'low' ,'N/A' 
'Cabulk' ,'N/A' 
'Cabulk' ,'N/A' 
increasing          ,N/A                        
Cabulk              ,N/A                        
0.0032              ,0.0032                     
"'above 0.1, higher than the critical capillary number Ca ~ 0.015' ","[0.1, 0.015] "
'liquid capillary number' ,'N/A' 
"['0.03', '0.07', '0.21'] ","[0.03, 0.07, 0.21] "
"['0.07', '0.14', '≥ 0.21'] ","[0.07, 0.14, 0.21] "
'high' ,'N/A' 
increased           ,N/A                        
<0.01               ,0.005                      
0.00027 to 0.0071   ,0.003685                   
<10^-2              ,0.005                      
">0.0008 stable, <0.0008 unstable ","[0.0008, 0.0004] "
<0.0008             ,0.0004                     
>0.0008             ,0.0008                     
Ca                  ,N/A                        
">0.0008, <0.0008    ","[0.0008, 0.0004]           "
μu/σ                ,N/A                        
"['>0.0008', '<0.0008'] ","[0.0008, 0.0004]          "
"['0.0016', '0.006'] ","[0.0016, 0.006] "
"['0.0016', '0.006'] ","[0.0016, 0.006] "
"['0.0023', '0.0074'] ","[0.0023, 0.0074] "
'Ca' ,'N/A' 
'0.0023 ⩽CaBlock-I ⩽0.0074' ,0.00485 
"['0.0023', '0.00585'] ","[0.0023, 0.00585] "
'0.00248' ,0.00248 
"['0.00248', '0.00414', '0.00524'] ","[0.00248, 0.00414, 0.00524] "
"'0.00414, 0.00524' ","[0.00414, 0.00524] "
"['0.00248', '0.00176'] ","[0.00248, 0.00176] "
'0.00414' ,0.00414 
"['CaBlock-II', 'CaBlock-III'] ","['N/A', 'N/A'] "
"['0.0023', '0.005', '0.00585', '0.0074'] ","[0.0023, 0.005, 0.00585, 0.0074] "
"['0.0023', '0.0050', '0.00585', '0.0074'] ","[0.0023, 0.0050, 0.00585, 0.0074] "
'> 0.0074' ,0.0074 
'≥0.0050' ,0.0050 
'decrease' ,'N/A' 
'0.0023 ⩽CaBlock-I ⩽0.0074' ,0.00485 
'0.00293' ,0.00293 
"['0.00429', '0.0050', '0.00585'] ","[0.00429, 0.005, 0.00585] "
"['0.0023', '0.005', '0.00585', '0.0074'] ","[0.0023, 0.005, 0.00585, 0.0074] "
"['0.00234', '0.00351', '0.00429', '0.00507', '0.00585', '0.00741'] ","[0.00234, 0.00351, 0.00429, 0.00507, 0.00585, 0.00741] "
Ca                  ,N/A                        
Ca=μvmaxσ           ,N/A                        
<10^-2              ,0.005                      
"['0.033', '0.016', '0.065', '0.16', '0.016', '0.016', '0.016'] ","['0.033', '0.016', '0.065', '0.16', '0.016', '0.016', '0.016'] "
Ca ,N/A 
0.01 ,0.01 
lower for water/hexane system ,N/A 
0.0005 to 0.0014 ,0.00095 
variations of dimensionless slug size ,N/A 
higher for dextran than water ,N/A 
"['decreases with increasing slug size', 'increases with lower interfacial tension'] ","['N/A', 'N/A'] "
Ca                  ,N/A                         
"['0.8', '1.0', '1.2'] ","[0.8, 1.0, 1.2] "
Ca                  ,N/A                         
Ca                  ,N/A                        
"['0.024', '0.105'] ","[0.024, 0.105] "
'_Ca_' ,'N/A' 
'Ca ≪ 1' ,'N/A' 
'0.007' ,0.007 
'low' ,'N/A' 
'low' ,'N/A' 
≤ 0.025 ,0.0125 
0.07 ,0.07 
"['0.001', '0.007', '0.180'] ","[0.001, 0.007, 0.180] "
'0.001 < Ca < 0.180' ,0.0905 
"['0.01 when 500 < Re_TP < 2000', '0.2 < Ca < 1.0 when Re_TP = 20'] ","[0.01, 0.6] "
'9.5 × 10–4 < _Ca_ < 1.90' ,0.9505 
"['0.011', '0.088'] ","[0.011, 0.088] "
'Ca' ,'N/A' 
"['0.001', '0.180'] ","[0.001, 0.180] "
'Ca: Capillary number (μL U TP/σ)' ,'N/A' 
'Ca: Capillary number (μL U TP/σ)' ,'N/A' 
"['Ca L,M < 0.02', 'Ca L,M > 0.02'] ","[0.01, 0.02] "
"['0.001', '0.007', '0.180'] ","[0.001, 0.007, 0.180] "
'depends largely'   ,'N/A'                       
'depends largely' ,'N/A' 
"['Ca_1', 'Ca_2'] ","['N/A', 'N/A'] "
'0.0125' ,0.0125 
"['0.025', '0.00554', '0.014'] ","[0.025, 0.00554, 0.014] "
'<0.00554' ,0.00277 
"['10–3', '10–1', '0.008', '0.001', '0.025'] ","[0.001, 0.1, 0.008, 0.001, 0.025] "
['0.00554 ≤ Ca ≤ 0.025'] ,[0.01527] 
'0.0001 to 0.01' ,0.00505 
'Ca = μL j /σ' ,'N/A' 
'0.000278 < Ca < 0.01' ,0.005139 
'0.00554' ,0.00554 
"['0.00156', '0.00694', '0.00313', '0.01390', '0.00469', '0.02100', '0.00625', '0.02780'] ","[0.00156, 0.00694, 0.00313, 0.01390, 0.00469, 0.02100, 0.00625, 0.02780] "
"['Ca_1', 'Ca_2'] ",'N/A' 
'< 10–3' ,0.0005 
"['0.025', '1.35'] ","[0.025, 1.35] "
'varies along the orifice; highest at inlet' ,'N/A' 
'4.3 x 10^-7' ,0.00000043 
'low' ,'N/A' 
'low' ,'N/A' 
'increases' ,'N/A' 
'high' ,'N/A' 
low                 ,N/A                        
"['0.01', '0.02', '0.1', '0.3'] ","[0.01, 0.02, 0.1, 0.3] "
'Cac' ,'N/A' 
'0.004–0.08' ,0.042 
'0.01' ,0.01 
'0.01' ,0.01 
"['0.02', '0.08'] ","[0.02, 0.08] "
"['0.01', '0.02', '0.06', '0.08'] ","[0.01, 0.02, 0.06, 0.08] "
'0.004 to 0.06' ,0.032 
'0.02 to 0.04' ,0.03 
'0.02' ,0.02 
'0.08' ,0.08 
"['0.01', '0.06', '0.08'] ","[0.01, 0.06, 0.08] "
'0.08' ,0.08 
'0.08' ,0.08 
'<0.06' ,0.03 
'>0.06' ,0.06 
'0.004–0.08' ,0.042 
['different capillary numbers'] ,'N/A' 
"['0.02 to 0.06', '0.06 to 0.08'] ","[0.04, 0.07] "
'0.004 to 0.02' ,0.012 
'>0.06' ,0.06 
"['0.0015', '0.1567']","[0.0015, 0.1567]            "
Ca = µc uc/σ       ,N/A                        
large               ,N/A                        
known range         ,N/A                        
0.1 to 10 mN/m      ,5.05                       
"3.6, 6.5            ","[3.6, 6.5]                 "
low                 ,N/A                        
'ηUσ' ,'N/A' 
"['2.1 × 10-3', '0.12'] ","[0.0021, 0.12] "
"'variable, reflects viscous force compared to surface tension' ",'N/A' 
'Ca' ,'N/A' 
"['2.1 × 10-3', '0.072'] ","[0.0021, 0.072]           "
Ca                  ,N/A                        
"['0.001', '0.1']    ","[0.001, 0.1]               "
'0.0108'            ,0.0108                     
'0.0108'            ,0.0108                     
'0.004'             ,0.004                      
'0.004'             ,0.004                      
'0.00384'           ,0.00384                    
'0.00768'           ,0.00768                    
'0.01152'           ,0.01152                    
'0.00768'           ,0.00768                    
'0.01152'           ,0.01152                    
"['0.01152', '0.00768'] ","[0.01152, 0.00768]     "
"['0.01152', '0.00768'] ","[0.01152, 0.00768]     "
'0.01152'           ,0.01152                    
'0.01152'           ,0.01152                    
"['0.01152', '0.00768'] ","[0.01152, 0.00768]     "
'0.01152'           ,0.01152                    
0.01152             ,0.01152                    
0.00768             ,0.00768                    
Cas                 ,N/A                        
Cas                 ,N/A                        
mentioned           ,N/A                        
Cas                 ,N/A                        
'0.01 to 0.06'                                             ,0.035                      
'decreased with the increase of the capillary number'      ,'N/A'                      
'0.01 to 0.06'                                             ,0.035                      
high                ,N/A                        
extended range in coated channels ,N/A                        
0.8                               ,0.8                        
< 5 × 10−2                        ,0.025                      
"['5 × 10−2', '1 × 10−2']          ","[0.05, 0.01]               "
"['< 5 × 10−2', 'Approximately 1 × 10−2'] ","[0.025, 0.01]             "
high           ,N/A                         
same           ,N/A                         
0.6            ,0.6                         
high ,N/A 
low ,N/A 
